KPI,N Observations,Raw Minimum,Raw Maximum,Winsor Lower Bound,Winsor Upper Bound,Business Lower Cap,Business Upper Cap,Changed by Winsorization,Additionally Changed by Business Cap,Business Cap Redundant in Cohort
EBITDA Margin,587,-11.38954975871325,2.2969020129097273,-0.7189989087156159,0.42782715811512245,-1.0,1.0,60,0,True
Return on Assets,587,-3.6539224019664247,0.6423495471293682,-0.3831477477697104,0.18324877123298702,-1.0,1.0,60,0,True
Asset Turnover,587,0.007742125616808608,61.915855007349926,0.15099237258681789,1.7013951663038984,,,60,0,True
Revenue per Employee,587,15507.583333333334,591715768.115942,108467.94492753624,2044794.0147783188,,,60,0,True
Current Ratio,587,0.04065901997107113,38.877923128551835,0.6181295411293349,7.310821947703098,0.0,10.0,60,0,True
Debt Ratio,587,0.0,2.9046898509488863,0.006129729806998338,0.6183107815069504,0.0,2.0,60,0,True
Free Cash Flow Margin,587,-47.31344228081461,2.468718857269405,-0.6396660155710296,0.34720494356072235,-1.0,1.0,60,0,True
Operating Cash Flow Margin,587,-2.803175478393494,2.4883180157236184,-0.42634155952788905,0.4040663753151145,-1.0,1.0,60,0,True
