Scenario ID,Scenario Name,K,Cluster,KPI,Mean Absolute SHAP,Mean Signed SHAP,Median Signed SHAP,Mean Scaled KPI Value,N Explained Companies,Background Seed,Importance_Rank
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,3,0,Revenue per Employee,26.305561775716697,26.305561775716697,30.07065812032282,4.0902238039864836,45,31001,1
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,3,0,Current Ratio,1.855610795822437,1.3264873051964279,1.059786787649334,0.9441134100573516,45,31001,2
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,3,0,Return on Assets,1.1701513401177814,0.9351158414511932,1.1331086392290715,0.15135613103098994,45,31001,3
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,3,1,Revenue per Employee,5.662210881313554,5.240208193192455,6.080091261802201,0.057158146760763515,95,31001,1
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,3,1,Free Cash Flow Margin,1.9161804654926764,1.512586333163136,1.6559918497776818,0.2387704228386744,95,31001,2
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,3,1,EBITDA Margin,1.8505089363886456,1.2265390327081553,1.6389508820422733,0.2528328924530864,95,31001,3
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,3,2,EBITDA Margin,12.801570424453518,12.801570424453518,15.220740334805054,-2.43491156244247,60,31001,1
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,3,2,Return on Assets,11.097252721729877,11.028229315211098,12.550072325851826,-2.408135025385216,60,31001,2
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,3,2,Free Cash Flow Margin,7.460981428562946,7.169238650407422,8.289643548903816,-1.9725762646955693,60,31001,3
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,2,0,Free Cash Flow Margin,13.330862868414089,13.330862868414089,16.789353431355927,-2.648682057943515,79,31001,1
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,2,0,Operating Cash Flow Margin,12.721366685628182,12.721366685628182,15.270227449996073,-2.5544105513319053,79,31001,2
