Scenario ID,Scenario Name,Symbol,Assigned Cluster,Assignment Margin,SHAP::EBITDA Margin,SHAP::Return on Assets,SHAP::Asset Turnover,SHAP::Revenue per Employee,SHAP::Current Ratio,SHAP::Debt Ratio,SHAP::Free Cash Flow Margin,SHAP::Operating Cash Flow Margin
technology_revenue_25m,Technology companies with revenue >= $25M,CHOW,1,12.02372657339535,3.5249710307374795,7.736967093804199,-0.3921374761542731,0.10836666575667214,0.10553947285672885,-0.06490696346007518,6.1113780017922155,4.912612298779893
technology_revenue_25m,Technology companies with revenue >= $25M,EXOD,1,5.71124598624494,4.398967492932596,1.2500282221122407,0.15254170926444918,0.019287204053164947,0.3628281537122081,-0.025667594427899815,4.908451295854055,4.663873053461603
technology_revenue_25m,Technology companies with revenue >= $25M,INUV,1,0.802006914175827,2.2829463935317897,6.52281315693196,-0.3921374761542742,-0.2821840548189234,-0.08019400582893121,-0.03133244002655822,1.2658568020739038,1.5353020891843425
technology_revenue_25m,Technology companies with revenue >= $25M,WYY,0,7.6316026282984435,-1.6681779316661234,-0.987314985110935,0.3921374761542735,0.006554861005357682,0.05420466560425363,0.06190116584040656,0.3209820952344657,-0.5677482694807298
technology_revenue_25m,Technology companies with revenue >= $25M,AAOI,1,15.19121470828156,2.422834063141719,0.9304062990653639,0.18123627182423527,0.23722755590451067,0.05149745817816767,-0.016402885627525593,13.893301638333512,7.510177858179058
technology_revenue_25m,Technology companies with revenue >= $25M,AAPL,0,29.886357381567656,5.100385395732207,6.083927964895008,0.1547419253533731,0.6864251860505981,0.06368594378460196,-0.0020448508754253303,4.55251608301891,3.2276561828909167
technology_revenue_25m,Technology companies with revenue >= $25M,ACMR,0,9.141002752580352,1.7118742161243907,1.1960622306697257,-0.2145620081935658,-0.11788336824274406,-0.09411163795937774,0.04855853951124628,-2.025601083015476,-1.3823976870313248
technology_revenue_25m,Technology companies with revenue >= $25M,ADBE,0,34.96750984088211,6.383279602511483,6.083927964895019,0.0005705402458787145,0.0725790933765525,0.056835189573633704,0.01253462184162496,6.8635387003036294,5.47518057741682
technology_revenue_25m,Technology companies with revenue >= $25M,ADP,0,23.547375145076142,4.330900907607765,2.6149961999665132,-0.1833212750571923,-0.1425828499294276,0.05341599652279261,0.02897504845414567,4.054340397288062,2.7715871695059917
technology_revenue_25m,Technology companies with revenue >= $25M,AEHR,1,1.512711287220272,2.2283578474459516,0.7228972887624184,0.17815648404146256,0.0821409450603583,0.25424760842346816,-0.057677085922128835,4.859253826691785,3.2643979234344336
