Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Best Full-Assignment Method,Best Full-Assignment K,Best Full-Assignment Silhouette,Best Full-Assignment DBI,Best Full-Assignment CH,Best Practical Method,Best Practical K,Best Practical Silhouette,Best Practical DBI,Best Practical CH,Best Practical Noise Share,Autoencoder Mean Silhouette,Autoencoder Std Silhouette,Autoencoder Mean DBI,Autoencoder Mean CH,Autoencoder Mean ARI,Autoencoder Mean NMI,DEC Mean Initial Silhouette,DEC Mean Final Silhouette,DEC Mean Silhouette Improvement,DEC Std Final Silhouette,DEC Mean Final DBI,DEC Mean Final CH,DEC Mean ARI,DEC Mean NMI,Recommended Method,Recommendation Reason
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,inf,588,K-Means,3,0.27668963169153193,1.379077549312879,172.0872476290131,HDBSCAN,2,0.3499780680032525,0.7981510214127476,33.20668170963738,0.20578231292517007,0.3995792071024577,0.00886906550344805,0.9483377808959332,469.4319125889292,0.5311328083274186,0.46954185631003914,0.3995792071024577,0.569583018620809,0.17000381151835123,0.03127973873813302,0.6059783550919469,1174.4215538160404,0.544152399485384,0.5165284423542965,DEC,Strong neural separation with moderate cross-seed stability.
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Agglomerative,2,0.45627436037708896,0.8895474560975752,243.06251355569768,HDBSCAN,2,0.6215222341998727,0.4239338562620689,228.26882855595562,0.19772727272727272,0.40688011050224304,0.033027574178347056,0.8364590480948433,548.5720130632071,0.5609891580003796,0.591006844553375,0.40688011050224304,0.5119946797688802,0.10511456926663716,0.03620242467501283,0.6125112769350595,945.9932785912137,0.4938408515380119,0.5749004399753505,HDBSCAN,Best practical separation with acceptable noise share.
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,Agglomerative,2,0.4443085489819493,1.0249471473852307,143.85574484316348,HDBSCAN,2,0.5429026046370481,0.6081389215820096,131.72634797145963,0.15370705244122965,0.47238298257191974,0.08980736547752646,0.9077716537630569,463.3773302770426,0.5513738080398541,0.5703802757395785,0.47238298257191974,0.5344540178775787,0.062071035305658974,0.07077898802813415,0.7093021954352627,750.632938132975,0.5637190085880999,0.5793804896065101,HDBSCAN,Best practical separation with acceptable noise share.
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,460,K-Means,3,0.2990066860458699,1.3029352878979097,161.4372843569731,HDBSCAN,2,0.39641314285989787,0.8584694873667803,63.58651068012205,0.13695652173913042,0.4058234691619873,0.040495551025204024,0.9377293016561179,368.57432698674705,0.4109773751414659,0.4531159226661326,0.4058234691619873,0.5191895763079325,0.11336610714594524,0.035474332410252794,0.699265959377596,613.6279851810181,0.4167088311845981,0.47617930841556827,DEC,Strong neural separation with moderate cross-seed stability.
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1645,K-Means,2,0.5093809169370611,0.8600492749997476,790.1283693687243,HDBSCAN,2,0.578039272219399,0.5973196010514114,494.0547622851901,0.09848024316109423,0.45867986480395,0.018014182529524872,0.7832617463068766,1523.423732902512,0.7458511637141565,0.7076527389451467,0.45867986480395,0.6742721994717916,0.21559233466784158,0.02775939575895877,0.47033874962518324,4577.759105553895,0.5601267976971488,0.6442719295198854,DEC,Strong neural separation with moderate cross-seed stability.
