Scenario ID,Scenario Name,Method,N_Companies,Mean_Initial_Silhouette,Mean_Final_Silhouette,Mean_Silhouette_Improvement,Std_Final_Silhouette,Min_Final_Silhouette,Max_Final_Silhouette,Mean_Initial_DBI,Mean_Final_DBI,Mean_DBI_Improvement,Mean_Initial_CH,Mean_Final_CH,Mean_CH_Improvement,Smallest_Final_Cluster,Largest_Final_Cluster
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,460,0.4058234691619873,0.5191895763079325,0.11336610714594524,0.035474332410252794,0.47848474979400635,0.5435126423835754,0.9377293016561179,0.699265959377596,0.23846334227852198,368.57432698674705,613.6279851810181,245.05365819427098,39,258
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,440,0.40688011050224304,0.5119946797688802,0.10511456926663716,0.03620242467501283,0.48395323753356934,0.5528644919395447,0.8364590480948433,0.6125112769350595,0.2239477711597838,548.5720130632071,945.9932785912137,397.4212655280065,46,210
industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,553,0.47238298257191974,0.5344540178775787,0.062071035305658974,0.07077898802813415,0.49061042070388794,0.6161082983016968,0.9077716537630569,0.7093021954352627,0.19846945832779425,463.3773302770426,750.632938132975,287.2556078559324,42,374
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,1645,0.45867986480395,0.6742721994717916,0.21559233466784158,0.02775939575895877,0.6422252655029297,0.6908697485923767,0.7832617463068766,0.47033874962518324,0.31292299668169327,1523.423732902512,4577.759105553895,3054.3353726513833,141,969
technology_revenue_20m,Technology companies with revenue >= $20M,DEC,588,0.3995792071024577,0.569583018620809,0.17000381151835123,0.03127973873813302,0.540026843547821,0.6023401618003845,0.9483377808959332,0.6059783550919469,0.34235942580398643,469.4319125889292,1174.4215538160404,704.9896412271111,66,309
