Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Model,K,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Inertia,AIC,BIC,Noise Share,Min Cluster Size,Min Samples
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,inf,588,HDBSCAN,3,0.34259617014021115,1.0273732688356374,126.1342905743989,,,,0.5697278911564626,25.0,5.0
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,inf,588,HDBSCAN,0,,,,,,,1.0,25.0,10.0
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,inf,588,HDBSCAN,0,,,,,,,1.0,25.0,15.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,K-Means,2,0.45609995716139917,0.8909814392070645,253.3002898493003,2572.751729823263,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,K-Means,3,0.23472909356525404,1.4353892425384958,203.25946220672984,2103.667579234828,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,K-Means,4,0.26328150950561713,1.2507237953974801,200.84939245437803,1704.7093717666874,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,K-Means,5,0.2560734693440149,1.2864979884846814,187.42205298269863,1490.9933182553266,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,K-Means,6,0.24856205027377062,1.2489811288474244,167.86232165190071,1384.030110144117,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,K-Means,7,0.23386228324706143,1.3273686946815177,154.4732088177962,1292.9770918814886,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,K-Means,8,0.24495098643601526,1.3283739084986794,146.16830816574506,1205.4746638689985,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,K-Means,9,0.23205193255438053,1.3517041699493515,140.57507531511655,1125.044432522446,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,K-Means,10,0.2289937321353729,1.348039395153819,134.09092494138997,1066.7397647078212,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Agglomerative,2,0.45627436037708896,0.8895474560975752,243.06251355569768,,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Agglomerative,3,0.30213067275602434,1.2219627183876607,192.77387638728152,,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Agglomerative,4,0.21947278406191684,1.3648098641384068,176.90877418599234,,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Agglomerative,5,0.21357965658229625,1.327554637410175,160.61147107068606,,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Agglomerative,6,0.23284278946898918,1.336157877057061,154.69674208699496,,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Agglomerative,7,0.2083393141258715,1.3195561287112016,141.38524577587853,,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Agglomerative,8,0.20054551732539008,1.4435687604616678,132.73331158569496,,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Agglomerative,9,0.20806601770100025,1.4125037298070944,126.98715942881621,,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Agglomerative,10,0.20635802617876242,1.3905110541531036,123.35017897752671,,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Gaussian Mixture,2,0.31774710839416476,1.3237320168708535,185.46386535963148,,7387.404407882511,7751.127358577706,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Gaussian Mixture,3,0.20107436271841964,1.6275980026423218,166.17114551262281,,6696.8843419508,7244.51215535705,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Gaussian Mixture,4,0.13434199567678032,1.769893433520426,122.47313545694847,,6461.617915887473,7193.150592004776,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Gaussian Mixture,5,0.11233345611672378,2.012775242283811,106.66088029904458,,6226.854083504307,7142.291622332663,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Gaussian Mixture,6,0.1706674837416066,1.5824846365352245,128.05021603925846,,5817.882044463757,6917.224446003167,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Gaussian Mixture,7,0.15282943426503087,1.6588648302235167,117.89962774404687,,5636.140304170385,6919.38756842085,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Gaussian Mixture,8,0.14688552028545618,1.6065676616564064,112.56023903357936,,5445.72234633996,6912.874473301477,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Gaussian Mixture,9,0.15181554214067008,1.583308567452228,109.04243861163606,,5399.151564660964,7050.208554333536,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Gaussian Mixture,10,0.12112355794351774,1.8676144106153363,91.33085820191698,,5222.8532497876095,7057.815102171235,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,HDBSCAN,3,0.3815809671738658,0.6736809985509048,146.2468237622393,,,,0.11136363636363636,10.0,5.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,HDBSCAN,2,0.6215222341998727,0.4239338562620689,228.26882855595562,,,,0.19772727272727272,10.0,10.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,HDBSCAN,2,0.6101265404506256,0.45423808488763917,214.5041973870791,,,,0.18863636363636363,10.0,15.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,HDBSCAN,2,0.574827779876626,0.5390091449199487,250.74049856466323,,,,0.1340909090909091,15.0,5.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,HDBSCAN,2,0.6215222341998727,0.4239338562620689,228.26882855595562,,,,0.19772727272727272,15.0,10.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,HDBSCAN,2,0.6101265404506256,0.45423808488763917,214.5041973870791,,,,0.18863636363636363,15.0,15.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,HDBSCAN,2,0.574827779876626,0.5390091449199487,250.74049856466323,,,,0.1340909090909091,20.0,5.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,HDBSCAN,2,0.6215222341998727,0.4239338562620689,228.26882855595562,,,,0.19772727272727272,20.0,10.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,HDBSCAN,2,0.6101265404506256,0.45423808488763917,214.5041973870791,,,,0.18863636363636363,20.0,15.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,HDBSCAN,2,0.574827779876626,0.5390091449199487,250.74049856466323,,,,0.1340909090909091,25.0,5.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,HDBSCAN,0,,,,,,,1.0,25.0,10.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,HDBSCAN,0,,,,,,,1.0,25.0,15.0
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,K-Means,2,0.3986428987199713,1.2501843455185107,159.5491195084237,5343.606273058891,,,,,
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,K-Means,3,0.4312034788266133,1.0446433134089956,196.34271741558084,4020.433196754405,,,,,
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,K-Means,4,0.27795482723750575,1.3483534843109195,188.99092564453986,3389.968804308449,,,,,
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,K-Means,5,0.2931355302718341,1.3048457787365924,183.74696155971543,2943.303005794628,,,,,
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,K-Means,6,0.2976168651699567,1.2895668910893219,172.6351736233959,2672.951050592305,,,,,
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,K-Means,7,0.3077856599341492,1.1671518958057978,161.31587731968756,2485.2711028608223,,,,,
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,K-Means,8,0.27840819321193344,1.213392172081459,155.30494235646594,2301.0046133501332,,,,,
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,K-Means,9,0.21791515282893914,1.2380008832421237,149.29864020132987,2156.3977095307364,,,,,
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,K-Means,10,0.21191402185224956,1.3229039842266113,144.4453097954411,2030.2504569568102,,,,,
