Scenario ID,Scenario Name,Method,N_Companies,Mean_Silhouette,Std_Silhouette,Min_Silhouette,Max_Silhouette,Mean_DBI,Mean_CH,Smallest_Cluster,Largest_Cluster
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,460,0.4058234691619873,0.040495551025204024,0.3800477385520935,0.4524988830089569,0.9377293016561179,368.57432698674705,38,267
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,440,0.40688011050224304,0.033027574178347056,0.3708646595478058,0.43574997782707214,0.8364590480948433,548.5720130632071,34,241
industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,553,0.47238298257191974,0.08980736547752646,0.39822813868522644,0.5722390413284302,0.9077716537630569,463.3773302770426,41,386
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,1645,0.45867986480395,0.018014182529524872,0.43912532925605774,0.47459927201271057,0.7832617463068766,1523.423732902512,151,1013
technology_revenue_20m,Technology companies with revenue >= $20M,Autoencoder + K-Means,588,0.3995792071024577,0.00886906550344805,0.3919142186641693,0.4092935621738434,0.9483377808959332,469.4319125889292,49,311
