Scenario ID,Scenario Name,Method,Mean_ARI,Std_ARI,Min_ARI,Max_ARI,Mean_NMI,Std_NMI,Min_NMI,Max_NMI
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,0.4109773751414659,0.22229156101559425,0.23309597178005798,0.6601747236496314,0.4531159226661326,0.1725938534913119,0.30568877850262,0.6429654759760319
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,0.4167088311845981,0.23729889803898258,0.23314607952761843,0.684669956597437,0.47617930841556827,0.16333808544410086,0.33347696458405734,0.6543310465999036
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,0.5609891580003796,0.1258171397481342,0.4206326355628256,0.6636479920486009,0.591006844553375,0.07941739611358634,0.5051643103806114,0.6618640616067923
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,0.4938408515380119,0.12978207267102715,0.34981683887641385,0.6017164775888929,0.5749004399753505,0.11470757662446393,0.46222074476457764,0.6915336773549299
industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,0.5513738080398541,0.25330603593510204,0.4024584647901209,0.8438500872416104,0.5703802757395785,0.16249447084481916,0.4609563478689508,0.7570932096037551
industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,0.5637190085880999,0.2510914260830046,0.4064611832714345,0.8532966982869782,0.5793804896065101,0.15474989032672495,0.48104080123280635,0.7577575620124347
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,0.7458511637141565,0.07892763116287184,0.6606419690976475,0.8164578292600745,0.7076527389451467,0.07522848263761844,0.6270365388850005,0.7759804002825517
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,0.5601267976971488,0.15802942080111043,0.4329929596371766,0.7370561366635494,0.6442719295198854,0.07986498595881338,0.5541990600446596,0.706442383650964
technology_revenue_20m,Technology companies with revenue >= $20M,Autoencoder + K-Means,0.5311328083274186,0.1627622689380593,0.43698028774359754,0.7190743707368131,0.46954185631003914,0.1345064797111179,0.37012253440843024,0.6225899994867093
technology_revenue_20m,Technology companies with revenue >= $20M,DEC,0.544152399485384,0.21796078069702715,0.41103431303675153,0.7956886932494581,0.5165284423542965,0.17311792124697833,0.4134132910526237,0.7163940212817594
