Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Method,Selected K,Selection Basis,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Mean ARI,Mean NMI,Smallest Cluster,Largest Cluster,Recommendation Tier,Key Finding,Saved At
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,,588,K-Means,5,Balanced baseline candidate,0.36655131142387265,0.9784945587044994,273.4309768880682,,,,,Production candidate,Stable and interpretable traditional baseline.,2026-07-20 16:47:40
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,,588,Agglomerative,4,Best Calinski-Harabasz / interpretable candidate,0.3413663685450199,1.0555633769173016,257.0138761238643,,,,,Production candidate,Comparable to K-Means with hierarchical structure.,2026-07-20 16:47:40
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,,588,Gaussian Mixture,4,Best Calinski-Harabasz candidate,0.26362986902396707,1.4223480192504798,171.173555650489,,,,,Secondary candidate,Useful probabilistic comparison but weaker separation.,2026-07-20 16:47:40
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,,588,HDBSCAN,3.0,Best valid Silhouette candidate,0.5092087071800224,0.6526504244325205,259.81321473096153,,,,,Outlier / density diagnostic,Identifies dense peer groups but excludes many firms as noise.,2026-07-20 16:47:40
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,,588,Autoencoder + K-Means,Variable by seed,Best architecture quality summary,0.47432475090026854,0.8431360842425418,475.145746339188,0.3472415802172158,0.29534663080275625,,,Research candidate,Higher cluster quality but unstable across random seeds.,2026-07-20 16:47:40
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,,588,DEC,4,Fixed K stability experiment,0.5709209561347961,0.6299759928579156,1014.1986027408899,0.44235132751871376,0.44725960452091995,54.0,293.0,Research candidate,Strong separation gains but only marginal stability improvement.,2026-07-20 16:47:40
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,,588,IDEC,4,Fixed K stability experiment,0.4975877940654755,0.7496884898023393,755.904384961581,0.43913953238895836,0.43965951269684905,54.0,307.0,Research candidate,More conservative than DEC but no major stability improvement.,2026-07-20 16:47:40
