Scenario ID,Scenario Name,N Companies,HDBSCAN K,HDBSCAN Assigned-Subset Silhouette,HDBSCAN Assignment Coverage,HDBSCAN Noise Share,HDBSCAN Assigned Companies,HDBSCAN Unassigned Companies,HDBSCAN Resampling Mean ARI,HDBSCAN Resampling Min ARI,HDBSCAN Mean Pairwise Coverage,HDBSCAN Dense-Archetype Assessment
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,470,2,0.4280347885562038,0.8276595744680851,0.1723404255319148,389,81,0.5093265089111499,0.0,0.4346461879207329,Exploratory; assignment coverage or stability is limited
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,443,2,0.6213403501731359,0.8036117381489842,0.1963882618510157,356,87,0.7807928310214022,0.0,0.6947735720246292,Promising with coverage limitations
industrials_revenue_20m,Industrials companies with revenue >= $20M,565,3,0.5560792698695759,0.8247787610619469,0.175221238938053,466,99,0.3625839758583503,-0.0523152509237535,0.399196812034743,Exploratory; assignment coverage or stability is limited
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,1649,2,0.5789987826948229,0.9047907822922984,0.0952092177077016,1492,157,0.9891704415721728,0.9102564930236308,0.8884981581925102,Strong dense-archetype evidence
technology_revenue_25m,Technology companies with revenue >= $25M,587,2,0.3634848957990991,0.7887563884156729,0.2112436115843271,463,124,0.3692781896159355,-0.0326302208825701,0.4851520027745107,Exploratory; assignment coverage or stability is limited
