Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Method,Sampling and Model Seed,N Companies,Native-Space Silhouette Score,Common-Space Silhouette Score
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,10002,376,0.410794198513031,0.22951864666612992
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,10002,376,0.47796162962913513,0.21465726013988853
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,10003,376,0.43844074010849,0.18163420344133835
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,10003,376,0.5876001119613647,0.13600379577899785
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,10004,376,0.3381199240684509,0.1875962793083903
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,10004,376,0.5196428894996643,0.1357228141975503
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,10000,1320,0.2967875897884369,0.1760984877830061
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,10000,1320,0.5008816719055176,0.1811164055616807
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,10001,1322,0.4379258155822754,0.20473814391451636
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,10001,1322,0.6017165780067444,0.09888672699249693
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,10002,1321,0.48458120226860046,0.21022169525347337
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,10002,1321,0.5902697443962097,0.10765767867351343
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,10003,1321,0.37443408370018005,0.15259437315557858
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,10003,1321,0.5970166921615601,0.1619472008688552
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,10004,1320,0.36204296350479126,0.1822577267223713
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,10004,1320,0.46152418851852417,0.12889728346492635
