Scenario ID,Scenario Name,Method,Method Type,Solution ID,Seed,Population,Variable,Kruskal-Wallis H,Kruskal-Wallis P-Value,Epsilon-Squared,Cluster Median Range,N Evaluated,Evaluation Coverage,Benjamini-Hochberg Adjusted P-Value
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,42.0,All eligible companies,Log10 Total Revenue,121.60957198711507,3.473514294466613e-26,0.2034469502351888,1.2133482401263116,587,1.0,3.1551088174738398e-25
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,42.0,All eligible companies,Log10 MarketCap,47.996029011814926,2.133628430201885e-10,0.07718015267892783,1.0964115372211296,587,1.0,4.560107821411872e-10
technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,456.0,All eligible companies,Log10 Total Revenue,167.8719001487649,3.664995484253267e-36,0.28279914262223826,1.2431269335347954,587,1.0,1.5979380311344246e-34
technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,456.0,All eligible companies,Log10 MarketCap,104.02684858330213,2.1158548087403286e-22,0.1732879049456297,1.1311091896218262,587,1.0,1.153140870763479e-21
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,456.0,All eligible companies,Log10 Total Revenue,145.17803311690201,2.8896305971871287e-31,0.24387312713019213,1.2070533267793468,587,1.0,5.726722456243582e-30
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,456.0,All eligible companies,Log10 MarketCap,142.3254268982464,1.1913172568003509e-30,0.23898014905359588,1.3711004150703143,587,1.0,2.1642263498539707e-29
technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,2026.0,All eligible companies,Log10 Total Revenue,130.70477146685252,3.812331654227784e-28,0.21904763544914668,1.4334751509108292,587,1.0,4.617157225675871e-27
technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,2026.0,All eligible companies,Log10 MarketCap,77.24808701981237,1.194515331114556e-16,0.12735520929641916,1.0614374115544472,587,1.0,4.13340225687259e-16
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,2026.0,All eligible companies,Log10 Total Revenue,147.63304959809477,8.537581412550054e-32,0.24808413310136324,1.4382951150341086,587,1.0,2.3264909349198897e-30
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,2026.0,All eligible companies,Log10 MarketCap,135.70961706647836,3.1801088786920505e-29,0.22763227627183252,1.3124402944134843,587,1.0,4.951883825391908e-28
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,Log10 Total Revenue,98.5137339195569,3.227783023679024e-23,0.22061930751030973,0.9769537572626694,444,1.0,2.121881374571979e-22
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,Log10 MarketCap,11.092818759159854,0.0008666265700132419,0.022834431581809624,0.3187793152656617,444,1.0,0.001124551144421945
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,K-Means,Traditional full-assignment,K-Means|K=2,,All eligible companies,Log10 Total Revenue,108.12352146950002,2.5253864346103087e-25,0.24236090830203624,0.985501410322227,444,1.0,1.835114142483491e-24
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,K-Means,Traditional full-assignment,K-Means|K=2,,All eligible companies,Log10 MarketCap,19.23763240288099,1.154156402523536e-05,0.04126161177122396,0.44391210981900286,444,1.0,1.723329422946102e-05
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,Log10 Total Revenue,118.9254891013561,1.0873833821330398e-27,0.26679974909809073,0.9468462796669499,444,1.0,1.1769211105212064e-26
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,Log10 MarketCap,50.92944611161511,9.57463858142734e-13,0.11296254776383509,0.5734983069089257,444,1.0,2.319190234167956e-12
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,Log10 Total Revenue,107.71364118958604,3.406690280276113e-23,0.2379855481581501,2.780002274684027,444,1.0,2.121881374571979e-22
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,Log10 MarketCap,36.87345064608985,4.8939699033861525e-08,0.07698511510474966,1.2232830190169182,444,1.0,8.817235032546953e-08
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,HDBSCAN assigned subset,Log10 Total Revenue,73.25956418254191,1.2356280664432876e-16,0.18703297685706538,2.780002274684027,384,1.0,4.14410643822518e-16
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,HDBSCAN assigned subset,Log10 MarketCap,10.598476957034563,0.00499539656062081,0.02256818098959203,0.7242565646442607,384,1.0,0.006294777168874778
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=15,,All companies including noise,Log10 Total Revenue,114.10524672912175,1.6686317183925372e-25,0.25420690868281576,1.168277325891526,444,1.0,1.2991489807484754e-24
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=15,,All companies including noise,Log10 MarketCap,32.82140839818089,7.463142296233208e-08,0.06988981496186143,0.5204424281561142,444,1.0,1.3015720164630716e-07
