Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Best Full-Assignment Method,Best Full-Assignment K,Common Evaluation Space,Best Full-Assignment Common-Space Silhouette,Best Full-Assignment Native-Space Silhouette,Best Full-Assignment Common-Space DBI,Best Full-Assignment Common-Space CH,Best Full-Assignment Resampling Mean ARI,Best Full-Assignment Resampling Min ARI,Best Practical Method,Best Practical K,Best Practical Common-Space Silhouette,Best Practical Native-Space Silhouette,Best Practical Common-Space DBI,Best Practical Common-Space CH,Best Practical Noise Share,Best Practical Resampling Mean ARI,Autoencoder Mean Native-Space Silhouette,Autoencoder Mean Common-Space Silhouette,Autoencoder Std Native-Space Silhouette,Autoencoder Mean Native-Space DBI,Autoencoder Mean Native-Space CH,Autoencoder Mean Common-Space DBI,Autoencoder Mean Common-Space CH,Autoencoder Mean ARI,Autoencoder Mean NMI,Autoencoder Resampling Mean ARI,Autoencoder Resampling Min ARI,DEC Mean Initial Native-Space Silhouette,DEC Mean Final Native-Space Silhouette,DEC Mean Native-Space Silhouette Improvement,DEC Mean Initial Common-Space Silhouette,DEC Mean Final Common-Space Silhouette,DEC Mean Common-Space Silhouette Change,DEC Std Final Native-Space Silhouette,DEC Mean Final Native-Space DBI,DEC Mean Final Native-Space CH,DEC Mean Final Common-Space DBI,DEC Mean Final Common-Space CH,DEC Mean ARI,DEC Mean NMI,DEC Resampling Mean ARI,DEC Resampling Min ARI,Recommended Method,Recommendation Reason
Canonical cross-cohort robustness,scenario_pipeline_v2,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,K-Means,3,Scenario-specific scaled KPI-8,0.27624820316341414,0.27624820316341414,1.3809242067784355,171.51796908678102,0.7888176972302076,0.2615170637671309,HDBSCAN,2,0.36348489579909915,0.36348489579909915,0.7653993351324769,32.0737146640882,0.21124361158432714,0.3692781896159355,0.35882489879926044,0.1730186988760807,0.03169679015520184,0.9892662508372428,412.091676080918,1.8966308038049595,117.08446191308077,0.2560030763508714,0.305901768431095,0.5160670670232725,0.38357639187309894,0.35882489879926044,0.5263263881206512,0.16750148932139078,0.1730186988760807,0.16438761488702183,-0.008631083989058883,0.028393562311689678,0.6606758403240286,904.4414394764617,2.0645491520306356,113.22691837238897,0.26736237967665955,0.3221676174184393,0.5285849033815364,0.31887584572978334,K-Means,Best full-assignment traditional method; more suitable as a stable production default.
Canonical cross-cohort robustness,scenario_pipeline_v2,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,443,Agglomerative,2,Scenario-specific scaled KPI-8,0.4594557689535493,0.4594557689535493,0.8827478975612716,247.65931897216552,0.6864194584203466,0.2571650197889763,HDBSCAN,2,0.6213403501731359,0.6213403501731359,0.42990512213162474,238.82017802978626,0.19638826185101577,0.7807928310214022,0.418062021334966,0.19177580583209944,0.02719563623259663,0.8021156900075495,685.1371698648303,1.63603544698735,159.49274521555205,0.3849027724068676,0.49580945369053264,0.486208839929256,0.3422017222435801,0.418062021334966,0.5593220790227255,0.1412600576877594,0.19177580583209944,0.1520393646250042,-0.03973644120709526,0.02930223344449059,0.5548145897860332,1380.1504407367029,1.8650391572916085,145.5770947581755,0.38538862029532767,0.484163077688349,0.5230255737381995,0.411177099544662,HDBSCAN,Best practical separation with acceptable noise share.
Canonical cross-cohort robustness,scenario_pipeline_v2,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Agglomerative,2,Scenario-specific scaled KPI-8,0.4533084837378055,0.4533084837378055,1.0010835167186074,159.14444732289107,0.48683495937652566,-0.08766143824880866,HDBSCAN,3,0.5560792698695759,0.5560792698695759,0.5106062233629899,99.91150006642309,0.17522123893805308,0.3625839758583503,0.4560762345790863,0.24534480069471173,0.030420280467738616,0.8545248987928201,623.485661786347,1.6158807721431427,155.60764804489,0.4314279652521889,0.4696581376055971,0.4170053612324051,0.2748513386685302,0.4560762345790863,0.5376767615477244,0.0816005269686381,0.24534480069471173,0.23441106599328945,-0.010933734701422282,0.07499238743967249,0.6773805483955138,1043.465153534368,1.6811887731014525,153.02009208842813,0.45245217643687613,0.4829366469622334,0.41329259387444994,0.28090340283130405,Agglomerative,Best full-assignment traditional method; more suitable as a stable production default.
Canonical cross-cohort robustness,scenario_pipeline_v2,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,K-Means,3,Scenario-specific scaled KPI-8,0.30283958999497895,0.30283958999497895,1.3051762090479417,158.37944969984204,0.7217352221669313,0.35248903102995477,HDBSCAN,2,0.42803478855620386,0.42803478855620386,0.8202632591198763,74.37433996633963,0.17234042553191486,0.5093265089111499,0.47537824511528015,0.24498330858373676,0.026532700641557518,0.8141777302381511,432.7844311849019,1.3295353269994865,137.74121948766705,0.45004327615702694,0.5553879997106413,0.5411196058828913,0.26739531044989245,0.47537824511528015,0.5529165069262186,0.07753826181093852,0.24498330858373676,0.23731879917788823,-0.0076645094058485535,0.03739555644924495,0.7076700668501034,678.9371333521472,1.3702661349377478,135.8408645778323,0.46848464053821365,0.5583485317618,0.4777671284052566,0.24488812020264342,HDBSCAN,Best practical separation with acceptable noise share.
Canonical cross-cohort robustness,scenario_pipeline_v2,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1649,K-Means,2,Scenario-specific scaled KPI-8,0.5147341402254545,0.5147341402254545,0.8475225053754222,812.8016879479994,0.9516457681162783,0.7961446051137794,HDBSCAN,2,0.5789987826948229,0.5789987826948229,0.5966077752079558,499.07008956438915,0.09520921770770163,0.9891704415721729,0.46798352400461835,0.3036657857960859,0.033125633353013884,0.7972541454196588,1631.4790595197821,1.2181063067791733,670.6136955001165,0.740450995233604,0.6880181403004357,0.6116255446690966,0.48878393913889473,0.46798352400461835,0.6893228689829508,0.22133934497833252,0.3036657857960859,0.18949130221986774,-0.11417448357621822,0.05512238586316003,0.42216352914620553,5987.456968748778,1.6688711085988024,514.8177299434102,0.35629790087127694,0.454687803677104,0.525201064049884,0.40701757466317473,HDBSCAN,Best practical separation with acceptable noise share.
