Scenario ID,Scenario Name,Method,Method Type,Solution ID,Seed,Population,Cluster,KPI,N Companies in Cluster,Imputed Observations,Imputation Rate
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,0,Free Cash Flow Margin,219,1,0.0045662100456621
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,0,Operating Cash Flow Margin,219,3,0.0136986301369863
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,1,EBITDA Margin,368,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,1,Return on Assets,368,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,1,Asset Turnover,368,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,1,Revenue per Employee,368,15,0.04076086956521739
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,1,Current Ratio,368,1,0.002717391304347826
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,1,Debt Ratio,368,6,0.016304347826086956
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,1,Free Cash Flow Margin,368,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,1,Operating Cash Flow Margin,368,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,-1,EBITDA Margin,113,1,0.008849557522123894
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,-1,Return on Assets,113,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,-1,Asset Turnover,113,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,-1,Revenue per Employee,113,8,0.07079646017699115
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,-1,Current Ratio,113,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,-1,Debt Ratio,113,2,0.017699115044247787
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,-1,Free Cash Flow Margin,113,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,-1,Operating Cash Flow Margin,113,1,0.008849557522123894
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,0,EBITDA Margin,456,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,0,Return on Assets,456,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,0,Asset Turnover,456,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,0,Revenue per Employee,456,21,0.046052631578947366
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,0,Current Ratio,456,1,0.0021929824561403508
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,0,Debt Ratio,456,9,0.019736842105263157
