Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Method,N_Companies,Initial_Native_Evaluation_Space,Final_Native_Evaluation_Space,Common_Evaluation_Space,Mean_Initial_Silhouette,Mean_Final_Silhouette,Mean_Silhouette_Improvement,Std_Final_Silhouette,Min_Final_Silhouette,Max_Final_Silhouette,Mean_Initial_DBI,Mean_Final_DBI,Mean_DBI_Improvement,Mean_Initial_CH,Mean_Final_CH,Mean_CH_Improvement,Mean_Initial_Common_Space_Silhouette,Mean_Final_Common_Space_Silhouette,Mean_Common_Space_Silhouette_Change,Std_Final_Common_Space_Silhouette,Mean_Initial_Common_Space_DBI,Mean_Final_Common_Space_DBI,Mean_Initial_Common_Space_CH,Mean_Final_Common_Space_CH,Smallest_Final_Cluster,Largest_Final_Cluster
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,470,Autoencoder latent-3,DEC-refined latent-3,Scenario-specific scaled KPI-8,0.4107893804709117,0.491045614083608,0.08025623361269633,0.010380593159235476,0.48395976424217224,0.5029610991477966,0.9221878519179681,0.7474811589224072,0.17470669299556096,568.2549874154884,862.2234335213376,293.9684461058493,0.1938911107185691,0.1628009054989247,-0.03109020521964441,0.07822054364509994,1.7117693058081296,1.9215534589350864,136.72716102539482,133.4567355070329,41,255
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,444,Autoencoder latent-3,DEC-refined latent-3,Scenario-specific scaled KPI-8,0.4533476730187734,0.5530523061752319,0.09970463315645854,0.030221693821692684,0.5327239036560059,0.5877810716629028,0.8400194448521937,0.5917296711352628,0.24828977371693114,603.4456530247817,1029.1780989095398,425.7324458847582,0.25197562180834226,0.20542379229760574,-0.04655182951073653,0.04019450493257236,1.6316485598648434,1.8197367486002882,196.76368478840675,190.9242102499849,54,206
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,565,Autoencoder latent-3,DEC-refined latent-3,Scenario-specific scaled KPI-8,0.5217410226662954,0.5169220964113871,-0.004818926254908244,0.018098514604925727,0.49981003999710083,0.5358675122261047,0.782731998012578,0.700955229757294,0.08177676825528397,652.6380251047983,836.1664751300204,183.5284500252221,0.29398075600444307,0.16213241498996758,-0.13184834101447548,0.02088818837279792,1.538386839166294,1.6815713877805951,202.90370011963998,189.8478847659937,44,314
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,1651,Autoencoder latent-3,DEC-refined latent-3,Scenario-specific scaled KPI-8,0.3583499888579051,0.5596499840418497,0.2012999951839447,0.04644086166651803,0.509605348110199,0.6013577580451965,0.9983229295047643,0.5542283101404913,0.44409461936427314,1453.4926154653988,3553.0434838251854,2099.550868359786,0.16164815664179646,0.09739472106223214,-0.06425343557956432,0.037270350253024824,1.7687596817149942,2.283648127033483,602.8776651059678,382.9833325194583,146,650
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,587,Autoencoder latent-3,DEC-refined latent-3,Scenario-specific scaled KPI-8,0.46789494156837463,0.5243368546168009,0.05644191304842631,0.023993041400480003,0.5042962431907654,0.5509235858917236,0.8795019100786071,0.6798112105016451,0.19969069957696206,570.2698879789843,820.8873851542891,250.61749717530472,0.2188443617723096,0.14956479065450412,-0.06927957111780547,0.019359560650884282,1.6359356824683495,1.7696540515455854,149.18129579944608,153.17871170785898,64,298
