Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,N Companies,Best Full-Assignment Method,Best Full-Assignment K,Common Evaluation Space,Best Full-Assignment Common-Space Silhouette,Best Full-Assignment Resampling Mean ARI,Best Practical Method,Best Practical K,Best Practical Common-Space Silhouette,Best Practical Noise Share,Best Practical Resampling Mean ARI,Autoencoder Mean Native-Space Silhouette,Autoencoder Mean Common-Space Silhouette,Autoencoder Mean ARI,Autoencoder Resampling Mean ARI,DEC Mean Final Native-Space Silhouette,DEC Mean Final Common-Space Silhouette,DEC Mean Common-Space Silhouette Change,DEC Mean ARI,DEC Resampling Mean ARI,Recommended Method,Recommendation Reason
Canonical cross-cohort robustness,scenario_pipeline_v2,technology_revenue_25m,Technology companies with revenue >= $25M,587,K-Means,3,Scenario-specific scaled KPI-8,0.27624820316341414,0.7888176972302076,HDBSCAN,2,0.36348489579909915,0.21124361158432714,0.3692781896159355,0.35882489879926044,0.1730186988760807,0.2560030763508714,0.5160670670232725,0.5263263881206512,0.16438761488702183,-0.008631083989058883,0.26736237967665955,0.5285849033815364,K-Means,Best full-assignment traditional method; more suitable as a stable production default.
Canonical cross-cohort robustness,scenario_pipeline_v2,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,443,Agglomerative,2,Scenario-specific scaled KPI-8,0.4594557689535493,0.6864194584203466,HDBSCAN,2,0.6213403501731359,0.19638826185101577,0.7807928310214022,0.418062021334966,0.19177580583209944,0.3849027724068676,0.486208839929256,0.5593220790227255,0.1520393646250042,-0.03973644120709526,0.38538862029532767,0.5230255737381995,HDBSCAN,Best practical separation with acceptable noise share.
Canonical cross-cohort robustness,scenario_pipeline_v2,industrials_revenue_20m,Industrials companies with revenue >= $20M,565,Agglomerative,2,Scenario-specific scaled KPI-8,0.4533084837378055,0.48683495937652566,HDBSCAN,3,0.5560792698695759,0.17522123893805308,0.3625839758583503,0.4560762345790863,0.24534480069471173,0.4314279652521889,0.4170053612324051,0.5376767615477244,0.23441106599328945,-0.010933734701422282,0.45245217643687613,0.41329259387444994,Agglomerative,Best full-assignment traditional method; more suitable as a stable production default.
Canonical cross-cohort robustness,scenario_pipeline_v2,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,470,K-Means,3,Scenario-specific scaled KPI-8,0.30283958999497895,0.7217352221669313,HDBSCAN,2,0.42803478855620386,0.17234042553191486,0.5093265089111499,0.47537824511528015,0.24498330858373676,0.45004327615702694,0.5411196058828913,0.5529165069262186,0.23731879917788823,-0.0076645094058485535,0.46848464053821365,0.4777671284052566,HDBSCAN,Best practical separation with acceptable noise share.
Canonical cross-cohort robustness,scenario_pipeline_v2,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,1649,K-Means,2,Scenario-specific scaled KPI-8,0.5147341402254545,0.9516457681162783,HDBSCAN,2,0.5789987826948229,0.09520921770770163,0.9891704415721729,0.46798352400461835,0.3036657857960859,0.740450995233604,0.6116255446690966,0.6893228689829508,0.18949130221986774,-0.11417448357621822,0.35629790087127694,0.525201064049884,HDBSCAN,Best practical separation with acceptable noise share.
