Scenario ID,Scenario Name,Method,Method Type,Solution ID,Seed,Population,Cluster,N Companies,Dominant Sector,Dominant Sector Share,Dominant Industry,Dominant Industry Share,Median Log10 Revenue,Median Log10 MarketCap,MarketCap Coverage
technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,42.0,All eligible companies,2,57,Technology,1.0,Software - Application,0.2807017543859649,7.95424733490676,8.636967974650059,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,42.0,All eligible companies,3,117,Technology,1.0,Software - Application,0.23076923076923078,8.850511454347131,9.407085771976728,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,42.0,All eligible companies,0,73,Technology,1.0,Software - Application,0.2191780821917808,9.219217657022908,9.650511938138726,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,42.0,All eligible companies,1,298,Technology,1.0,Software - Application,0.3187919463087248,9.07321174378772,9.525457667481154,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,42.0,All eligible companies,2,97,Technology,1.0,Software - Application,0.30927835051546393,8.005869416896596,8.554100400917596,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,42.0,All eligible companies,3,119,Technology,1.0,Software - Application,0.19327731092436976,8.850511454347131,9.323298853737018,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,456.0,All eligible companies,0,72,Technology,1.0,Software - Application,0.2222222222222222,8.719598565160346,9.409938312248816,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,456.0,All eligible companies,1,347,Technology,1.0,Software - Application,0.2881844380403458,9.213556801900943,9.650280075630615,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,456.0,All eligible companies,2,54,Technology,1.0,Software - Application,0.3333333333333333,7.970429868366147,8.519170886008789,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,456.0,All eligible companies,3,114,Technology,1.0,Software - Application,0.2631578947368421,8.496960555762204,8.62212527448493,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,456.0,All eligible companies,0,108,Technology,1.0,Software - Application,0.2222222222222222,8.926422431231849,9.564613218715953,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,456.0,All eligible companies,1,235,Technology,1.0,Software - Application,0.30638297872340425,9.245458871188577,9.773564459976065,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,456.0,All eligible companies,2,93,Technology,1.0,Software - Application,0.3010752688172043,8.03840554440923,8.40246404490575,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,456.0,All eligible companies,3,151,Technology,1.0,Software - Application,0.26490066225165565,8.670126127196262,9.00610814912983,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,2026.0,All eligible companies,0,394,Technology,1.0,Software - Application,0.27918781725888325,9.022627178391945,9.54213066354967,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,2026.0,All eligible companies,1,83,Technology,1.0,Software - Application,0.3132530120481928,8.252513226416275,8.554100400917596,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,2026.0,All eligible companies,2,47,Technology,1.0,Software - Application,0.3191489361702128,7.964693236600319,8.510412964612167,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,2026.0,All eligible companies,3,63,Technology,1.0,Software - Application,0.20634920634920634,9.398168387511149,9.571850376166614,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,2026.0,All eligible companies,0,278,Technology,1.0,Software - Application,0.2733812949640288,9.090965748402818,9.69158750455017,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,2026.0,All eligible companies,1,139,Technology,1.0,Software - Application,0.302158273381295,8.660435712156007,8.970501505892868,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,2026.0,All eligible companies,2,106,Technology,1.0,Software - Application,0.3018867924528302,8.110046231183372,8.502953018883112,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,2026.0,All eligible companies,3,64,Technology,1.0,Software - Application,0.21875,9.54834134621748,9.815393313296596,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,0,375,Healthcare,1.0,Biotechnology,0.192,8.92665107708889,9.26576206227378,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,1,69,Healthcare,1.0,Biotechnology,0.7246376811594203,7.94969731982622,8.946982747008118,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,K-Means,Traditional full-assignment,K-Means|K=2,,All eligible companies,0,79,Healthcare,1.0,Biotechnology,0.6835443037974683,7.95663418246442,8.85027254935463,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,K-Means,Traditional full-assignment,K-Means|K=2,,All eligible companies,1,365,Healthcare,1.0,Biotechnology,0.1863013698630137,8.942135592786647,9.294184659173633,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,0,168,Healthcare,1.0,Biotechnology,0.4523809523809524,8.194799206823829,8.905679506775266,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,1,276,Healthcare,1.0,Medical Devices,0.16666666666666666,9.141645486490779,9.479177813684192,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,-1,60,Healthcare,1.0,Biotechnology,0.5,8.223722251088127,8.744023506227492,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,0,17,Healthcare,1.0,Healthcare Plans,0.5882352941176471,10.657304496567889,9.96730652524441,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,1,334,Healthcare,1.0,Medical Devices,0.20658682634730538,8.907359219407667,9.262565892602918,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,2,33,Healthcare,1.0,Biotechnology,0.8787878787878788,7.877302221883862,9.24304996060015,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,HDBSCAN assigned subset,0,17,Healthcare,1.0,Healthcare Plans,0.5882352941176471,10.657304496567889,9.96730652524441,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,HDBSCAN assigned subset,1,334,Healthcare,1.0,Medical Devices,0.20658682634730538,8.907359219407667,9.262565892602918,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,HDBSCAN assigned subset,2,33,Healthcare,1.0,Biotechnology,0.8787878787878788,7.877302221883862,9.24304996060015,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=15,,All companies including noise,-1,113,Healthcare,1.0,Biotechnology,0.4690265486725664,8.28379631354754,8.82979499017299,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=15,,All companies including noise,0,302,Healthcare,1.0,Medical Devices,0.2052980132450331,9.03900887696648,9.350237418329105,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=15,,All companies including noise,1,29,Healthcare,1.0,Biotechnology,0.8620689655172413,7.870731551074955,9.218524850954706,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=15,,HDBSCAN assigned subset,0,302,Healthcare,1.0,Medical Devices,0.2052980132450331,9.03900887696648,9.350237418329105,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=15,,HDBSCAN assigned subset,1,29,Healthcare,1.0,Biotechnology,0.8620689655172413,7.870731551074955,9.218524850954706,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,-1,60,Healthcare,1.0,Biotechnology,0.5,8.223722251088127,8.744023506227492,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,0,17,Healthcare,1.0,Healthcare Plans,0.5882352941176471,10.657304496567889,9.96730652524441,1.0
