Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Decision Profile,Method,Weighted Rank Score,Profile Winner,Separation Weight,Mean Stability Weight,Minimum Stability Weight
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Separation-focused,Autoencoder + K-Means,3.25,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Separation-focused,DEC,5.0,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Balanced,K-Means,1.0,True,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Balanced,Agglomerative,2.0,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Balanced,Gaussian Mixture,3.65,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Balanced,Autoencoder + K-Means,3.35,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Balanced,DEC,5.0,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Stability-focused,K-Means,1.0,True,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Stability-focused,Agglomerative,2.0,False,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Stability-focused,Gaussian Mixture,3.5500000000000003,False,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Stability-focused,Autoencoder + K-Means,3.45,False,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Stability-focused,DEC,5.0,False,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Separation-focused,K-Means,1.0,True,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Separation-focused,Agglomerative,2.0,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Separation-focused,Gaussian Mixture,3.3,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Separation-focused,Autoencoder + K-Means,3.8499999999999996,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Separation-focused,DEC,4.85,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Balanced,K-Means,1.0,True,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Balanced,Agglomerative,2.0,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Balanced,Gaussian Mixture,3.5,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Balanced,Autoencoder + K-Means,3.75,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Balanced,DEC,4.75,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Stability-focused,K-Means,1.0,True,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Stability-focused,Agglomerative,2.0,False,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Stability-focused,Gaussian Mixture,3.7,False,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Stability-focused,Autoencoder + K-Means,3.65,False,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Stability-focused,DEC,4.65,False,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Separation-focused,Agglomerative,1.8,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Separation-focused,K-Means,1.5999999999999999,True,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Separation-focused,Gaussian Mixture,2.5999999999999996,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Separation-focused,Autoencoder + K-Means,4.4,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Separation-focused,DEC,4.6,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Balanced,Agglomerative,2.1999999999999997,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Balanced,K-Means,1.4,True,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Balanced,Gaussian Mixture,2.4000000000000004,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Balanced,Autoencoder + K-Means,4.6,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Balanced,DEC,4.4,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Stability-focused,Agglomerative,2.5999999999999996,False,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Stability-focused,K-Means,1.2000000000000002,True,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Stability-focused,Gaussian Mixture,2.2,False,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Stability-focused,Autoencoder + K-Means,4.8,False,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Stability-focused,DEC,4.199999999999999,False,0.2,0.45,0.35
