Scenario ID,Scenario Name,N Companies,Selected Full-Assignment Candidate,Selected Full-Assignment Candidate Type,Selected Full-Assignment K,Selected Full-Assignment Common-Space Silhouette,Selected Full-Assignment Seed Mean ARI,Selected Full-Assignment Resampling Mean ARI,Full-Assignment Selection Basis
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,470,K-Means,Traditional full-assignment,3,0.3028395899949789,,0.7217352221669313,Highest common-space separation among candidates meeting the declared stability thresholds.
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,443,Agglomerative,Traditional full-assignment,2,0.4594557689535493,,0.6864194584203466,Highest common-space separation among candidates meeting the declared stability thresholds.
industrials_revenue_20m,Industrials companies with revenue >= $20M,565,Agglomerative,Traditional full-assignment,2,0.4533084837378055,,0.4868349593765256,Highest common-space separation among candidates meeting the declared stability thresholds.
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,1649,K-Means,Traditional full-assignment,2,0.5147341402254545,,0.9516457681162784,Highest common-space separation among candidates meeting the declared stability thresholds.
technology_revenue_25m,Technology companies with revenue >= $25M,587,K-Means,Traditional full-assignment,3,0.2762482031634141,,0.7888176972302076,Highest common-space separation among candidates meeting the declared stability thresholds.
