Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Candidate Role,Candidate ID,Method,Sampling Seed,N Shared Companies,N Evaluated Companies,Alignment Accuracy,Matched Company Count,Reference Cluster Count,Resampled Cluster Count,Matched Cluster Count,Unmatched Reference Cluster Count,Unmatched Resampled Cluster Count,Reference Noise Share,Resampled Noise Share
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10004,469,469,0.9616204690831557,451,2,2,2,0,0,0.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10005,469,469,0.9914712153518124,465,2,2,2,0,0,0.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10006,469,469,0.9893390191897654,464,2,2,2,0,0,0.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10007,469,469,0.9936034115138592,466,2,2,2,0,0,0.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10008,470,470,0.9680851063829787,455,2,2,2,0,0,0.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10009,469,469,0.9637526652452025,452,2,2,2,0,0,0.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10010,469,469,0.9936034115138592,466,2,2,2,0,0,0.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10011,469,469,0.9594882729211087,450,2,2,2,0,0,0.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10012,469,469,0.9509594882729211,446,2,2,2,0,0,0.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10013,470,470,0.9893617021276596,465,2,2,2,0,0,0.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10014,470,470,0.9723404255319149,457,2,2,2,0,0,0.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10015,470,470,0.9659574468085106,454,2,2,2,0,0,0.0,0.0
