Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Method,N_Companies,Native_Evaluation_Space,Common_Evaluation_Space,Mean_Silhouette,Std_Silhouette,Min_Silhouette,Max_Silhouette,Mean_DBI,Mean_CH,Mean_Common_Space_Silhouette,Std_Common_Space_Silhouette,Mean_Common_Space_DBI,Mean_Common_Space_CH,Smallest_Cluster,Largest_Cluster
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,470,Autoencoder latent-3,Scenario-specific scaled KPI-8,0.4107893804709117,0.041312314178018665,0.3863360583782196,0.4584876298904419,0.9221878519179681,568.2549874154884,0.1938911107185691,0.062185308125554326,1.7117693058081296,136.72716102539482,34,279
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,444,Autoencoder latent-3,Scenario-specific scaled KPI-8,0.4533476730187734,0.022083372285340117,0.4328080713748932,0.4767044484615326,0.8400194448521937,603.4456530247817,0.25197562180834226,0.028965967987706395,1.6316485598648434,196.76368478840675,39,253
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,565,Autoencoder latent-3,Scenario-specific scaled KPI-8,0.5217410226662954,0.07529906019923875,0.4417591989040375,0.5912637710571289,0.782731998012578,652.6380251047983,0.29398075600444307,0.08243766735355373,1.538386839166294,202.90370011963998,27,438
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,1651,Autoencoder latent-3,Scenario-specific scaled KPI-8,0.3583499888579051,0.06714828981613918,0.2949601411819458,0.4287125766277313,0.9983229295047643,1453.4926154653988,0.16164815664179646,0.0152241093234822,1.7687596817149942,602.8776651059678,130,954
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,587,Autoencoder latent-3,Scenario-specific scaled KPI-8,0.46789494156837463,0.014577819164369949,0.4553225636482239,0.483874648809433,0.8795019100786071,570.2698879789843,0.2188443617723096,0.025368537282894753,1.6359356824683495,149.18129579944608,47,394
