Scenario ID,Scenario Name,Replicate,Seed,Sample Size,Hopkins Statistic
industrials_revenue_20m,Industrials companies with revenue >= $20M,14,50014,56,0.9713237716535559
industrials_revenue_20m,Industrials companies with revenue >= $20M,15,50015,56,0.9973500920771126
industrials_revenue_20m,Industrials companies with revenue >= $20M,16,50016,56,0.995883632194803
industrials_revenue_20m,Industrials companies with revenue >= $20M,17,50017,56,0.9576011195422062
industrials_revenue_20m,Industrials companies with revenue >= $20M,18,50018,56,0.9541006364732064
industrials_revenue_20m,Industrials companies with revenue >= $20M,19,50019,56,0.9979518497555712
industrials_revenue_20m,Industrials companies with revenue >= $20M,20,50020,56,0.8918574174351688
industrials_revenue_20m,Industrials companies with revenue >= $20M,21,50021,56,0.9990451734766723
industrials_revenue_20m,Industrials companies with revenue >= $20M,22,50022,56,0.9985366513434026
industrials_revenue_20m,Industrials companies with revenue >= $20M,23,50023,56,0.8212051182143028
industrials_revenue_20m,Industrials companies with revenue >= $20M,24,50024,56,0.9992578269229729
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,0,60000,47,0.9977809583771156
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,1,60001,47,0.9938586468477951
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,2,60002,47,0.9916968166750092
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,3,60003,47,0.9966566528304062
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,4,60004,47,0.996256046480828
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,5,60005,47,0.9926055607225537
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,6,60006,47,0.9975653666558462
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,7,60007,47,0.945819751134755
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,8,60008,47,0.9899168226777193
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,9,60009,47,0.9986246656688931
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,10,60010,47,0.9963939668460581
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,11,60011,47,0.9548201434603586
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,12,60012,47,0.9971097332268977
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,13,60013,47,0.9907342422217931
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,14,60014,47,0.9937909332206714
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,15,60015,47,0.988521150535645
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,16,60016,47,0.9996253787348132
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,17,60017,47,0.995404240101247
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,18,60018,47,0.9968522385561842
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,19,60019,47,0.9981515189310596
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,20,60020,47,0.998027822917013
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,21,60021,47,0.9977147538476013
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,22,60022,47,0.9987302520898919
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,23,60023,47,0.9592365653274229
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,24,60024,47,0.9537474784517248
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,0,70000,100,0.9637791607853395
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,1,70001,100,0.9867447383255255
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,2,70002,100,0.9834272762819244
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,3,70003,100,0.9943925706825055
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,4,70004,100,0.976139855386599
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,5,70005,100,0.9769072167591906
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,6,70006,100,0.9890403834533997
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,7,70007,100,0.9913938023012954
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,8,70008,100,0.9957447138981196
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,9,70009,100,0.9910824428621086
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,10,70010,100,0.9880669086668712
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,11,70011,100,0.986808831701445
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,12,70012,100,0.9907361359738021
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,13,70013,100,0.9791221366697299
