Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,N Companies Before Completeness,N Companies Retained,Companies Excluded for Completeness,Total Feature Cells,Imputed Feature Cells,Imputed Feature Cell Share,Companies with Any Imputation,Company Share with Any Imputation,Companies with Two Imputed KPIs,Maximum Imputed KPIs per Retained Company
Canonical imputation sensitivity,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,590,587,3,4696,47,0.010008517887563885,46,0.07836456558773425,1,2
Canonical imputation sensitivity,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,444,444,0,3552,27,0.007601351351351352,23,0.0518018018018018,4,2
Canonical imputation sensitivity,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,567,565,2,4520,43,0.009513274336283186,42,0.0743362831858407,1,2
Canonical imputation sensitivity,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,470,470,0,3760,18,0.0047872340425531915,18,0.03829787234042553,0,1
Canonical imputation sensitivity,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,1654,1651,3,13208,125,0.00946396123561478,114,0.06904906117504543,11,2
