Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Model,K,Native Evaluation Space,Common Evaluation Space,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Common-Space Silhouette Score,Common-Space Davies-Bouldin Index,Common-Space Calinski-Harabasz Score,Evaluation Coverage,Inertia,AIC,BIC,Noise Share,Min Cluster Size,Min Samples
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Agglomerative,10,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.17657139950561548,1.4279096322117948,123.99562604175544,0.17657139950561548,1.4279096322117948,123.99562604175544,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Gaussian Mixture,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.2523357281439438,2.4799377793256268,85.56548923674531,0.2523357281439438,2.4799377793256268,85.56548923674531,1.0,,9397.312094363897,9786.689303328598,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Gaussian Mixture,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.13873951953105568,2.018572654322386,92.29699300235079,0.13873951953105568,2.018572654322386,92.29699300235079,1.0,,8800.7016588788,9386.954984735765,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Gaussian Mixture,4,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.02423657377097646,2.0388462227347404,70.6432839855614,0.02423657377097646,2.0388462227347404,70.6432839855614,1.0,,8438.295813695662,9221.42525644489,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Gaussian Mixture,5,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.03187173285456013,2.1016208196468478,81.22639307009952,0.03187173285456013,2.1016208196468478,81.22639307009952,1.0,,8258.258700457029,9238.264260098522,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Gaussian Mixture,6,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.046234955763340815,2.4148249930218846,81.91078158749912,0.046234955763340815,2.4148249930218846,81.91078158749912,1.0,,8120.61433136658,9297.496007900338,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Gaussian Mixture,7,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.054028946829351436,2.0100873171172187,75.90675458454741,0.054028946829351436,2.0100873171172187,75.90675458454741,1.0,,7720.113868214596,9093.871661640618,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Gaussian Mixture,8,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.07628321142786906,2.044164452057671,82.49482204872392,0.07628321142786906,2.044164452057671,82.49482204872392,1.0,,7921.424117531145,9492.058027849433,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Gaussian Mixture,9,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.063237057339743,1.9127949741640602,80.25882499298655,0.063237057339743,1.9127949741640602,80.25882499298655,1.0,,7878.559645239175,9646.069672449725,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Gaussian Mixture,10,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.0642008369210223,1.726696297822255,78.06672640227467,0.0642008369210223,1.726696297822255,78.06672640227467,1.0,,7776.738233558996,9741.124377661812,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.5817187312482276,0.6163833501403887,153.45309736595553,0.5817187312482276,0.6163833501403887,153.45309736595553,0.807495741056218,,,,0.19250425894378198,10.0,5.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.5744546821801174,0.4824200533657836,117.25373663143168,0.5744546821801174,0.4824200533657836,117.25373663143168,0.8194207836456558,,,,0.18057921635434415,10.0,10.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,HDBSCAN,0,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,,,,,,,0.0,,,,1.0,10.0,15.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.5817187312482276,0.6163833501403887,153.45309736595553,0.5817187312482276,0.6163833501403887,153.45309736595553,0.807495741056218,,,,0.19250425894378198,15.0,5.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,HDBSCAN,0,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,,,,,,,0.0,,,,1.0,15.0,10.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,HDBSCAN,0,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,,,,,,,0.0,,,,1.0,15.0,15.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.3278090906017505,1.066165377346185,43.41403433450691,0.3278090906017505,1.066165377346185,43.41403433450691,0.12947189097103917,,,,0.8705281090289608,20.0,5.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,HDBSCAN,0,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,,,,,,,0.0,,,,1.0,20.0,10.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,HDBSCAN,0,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,,,,,,,0.0,,,,1.0,20.0,15.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,HDBSCAN,0,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,,,,,,,0.0,,,,1.0,25.0,5.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,HDBSCAN,0,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,,,,,,,0.0,,,,1.0,25.0,10.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,HDBSCAN,0,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,,,,,,,0.0,,,,1.0,25.0,15.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,K-Means,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.47250100499989534,0.8435951257042859,320.15395932422933,0.47250100499989534,0.8435951257042859,320.15395932422933,1.0,1974.1311630192222,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,K-Means,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.379346486740994,1.0891824346428944,274.10262152852624,0.379346486740994,1.0891824346428944,274.10262152852624,1.0,1517.5696233161977,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,K-Means,4,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.284522395159351,1.297384349617057,237.7143613992929,0.284522395159351,1.297384349617057,237.7143613992929,1.0,1298.8707078778555,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,K-Means,5,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.24627797982295072,1.2633465690852492,209.3898420752751,0.24627797982295072,1.2633465690852492,209.3898420752751,1.0,1170.63080427931,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,K-Means,6,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.26293861741400204,1.2415634153915762,191.91491260867417,0.26293861741400204,1.2415634153915762,191.91491260867417,1.0,1066.8308549820028,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,K-Means,7,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.24878337630435793,1.3161988526253172,181.90824684682187,0.24878337630435793,1.3161988526253172,181.90824684682187,1.0,973.2553351444037,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,K-Means,8,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.2519585189913725,1.306424486416017,176.17660131646144,0.2519585189913725,1.306424486416017,176.17660131646144,1.0,889.1297407372485,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,K-Means,9,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.25033315204226675,1.260745064379605,165.99040655403746,0.25033315204226675,1.260745064379605,165.99040655403746,1.0,839.9477979848604,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,K-Means,10,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.24636308162692927,1.2970904767199103,157.78596604420463,0.24636308162692927,1.2970904767199103,157.78596604420463,1.0,796.8180845932785,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Agglomerative,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.484145290449611,0.7810948939919022,310.7138410379233,0.484145290449611,0.7810948939919022,310.7138410379233,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Agglomerative,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.35662953652693086,1.1221454538236397,265.20785166108277,0.35662953652693086,1.1221454538236397,265.20785166108277,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Agglomerative,4,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.26646917433073014,1.275166006769774,220.61562809568608,0.26646917433073014,1.275166006769774,220.61562809568608,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Agglomerative,5,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.22403326636997922,1.4294720243386707,193.09473277277897,0.22403326636997922,1.4294720243386707,193.09473277277897,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Agglomerative,6,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.23740523931693655,1.396928000339747,176.70246189216417,0.23740523931693655,1.396928000339747,176.70246189216417,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Agglomerative,7,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.22136699478212687,1.461964636643545,164.1100144392361,0.22136699478212687,1.461964636643545,164.1100144392361,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Agglomerative,8,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.18022170415083427,1.4735658686589193,155.43191296572442,0.18022170415083427,1.4735658686589193,155.43191296572442,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Agglomerative,9,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.18306823296032682,1.4450039932761285,146.60507066205233,0.18306823296032682,1.4450039932761285,146.60507066205233,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Agglomerative,10,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.18581641339799365,1.3770205601618142,138.7456759854093,0.18581641339799365,1.3770205601618142,138.7456759854093,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Gaussian Mixture,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.2787236743227077,1.4823636086490053,173.71289590125966,0.2787236743227077,1.4823636086490053,173.71289590125966,1.0,,5194.610273798786,5559.1386598552535,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Gaussian Mixture,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.14121390288622102,1.7878558235573212,124.94582831415934,0.14121390288622102,1.7878558235573212,124.94582831415934,1.0,,4666.955775214323,5215.796266580241,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Gaussian Mixture,4,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.1368755517580975,1.81807755952495,114.497873288778,0.1368755517580975,1.81807755952495,114.497873288778,1.0,,4395.304222624272,5128.45681929964,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Gaussian Mixture,5,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.13726430598100348,2.6679399073426664,107.75541002246521,0.13726430598100348,2.6679399073426664,107.75541002246521,1.0,,3635.49651372682,4552.961215711638,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Gaussian Mixture,6,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.14794597315824612,1.5564262649760352,134.18849527690662,0.14794597315824612,1.5564262649760352,134.18849527690662,1.0,,3561.782458952542,4663.559266246811,,,
