Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Model,K,Native Evaluation Space,Common Evaluation Space,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Common-Space Silhouette Score,Common-Space Davies-Bouldin Index,Common-Space Calinski-Harabasz Score,Evaluation Coverage,Inertia,AIC,BIC,Noise Share,Min Cluster Size,Min Samples
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6377840685987847,0.43551177462590696,327.282783630312,0.6377840685987847,0.43551177462590696,327.282783630312,0.7454954954954955,,,,0.25450450450450446,20.0,15.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.5797113590695884,0.5018074436609441,283.17229063971394,0.5797113590695884,0.5018074436609441,283.17229063971394,0.8265765765765766,,,,0.17342342342342343,25.0,5.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6457317066461961,0.43660180517202574,380.9469997695481,0.6457317066461961,0.43660180517202574,380.9469997695481,0.7319819819819819,,,,0.26801801801801806,25.0,10.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6377840685987847,0.43551177462590696,327.282783630312,0.6377840685987847,0.43551177462590696,327.282783630312,0.7454954954954955,,,,0.25450450450450446,25.0,15.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,K-Means,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.48268852566673154,1.090045133634377,224.52066356409273,0.48268852566673154,1.090045133634377,224.52066356409273,1.0,5103.295414289843,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,K-Means,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.5027037840163403,0.9044929389345846,281.05032527634495,0.5027037840163403,0.9044929389345846,281.05032527634495,1.0,3568.9082941958304,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,K-Means,4,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.20549247330179174,1.3152645358786041,241.80961351257582,0.20549247330179174,1.3152645358786041,241.80961351257582,1.0,3113.016090215892,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,K-Means,5,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.21472755371878696,1.3090159555942638,222.93679490447974,0.21472755371878696,1.3090159555942638,222.93679490447974,1.0,2753.623726328544,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,K-Means,6,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.23132587561872844,1.2384872925151649,208.41642410457428,0.23132587561872844,1.2384872925151649,208.41642410457428,1.0,2492.3123660235174,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,K-Means,7,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.22833584922920547,1.284641251260194,194.79516544092547,0.22833584922920547,1.284641251260194,194.79516544092547,1.0,2306.7669825394323,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,K-Means,8,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.22570762061755437,1.2509622254193584,185.58059715411355,0.22570762061755437,1.2509622254193584,185.58059715411355,1.0,2142.231879242506,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,K-Means,9,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.22721591767559962,1.2499635557077438,176.68897015236888,0.22721591767559962,1.2499635557077438,176.68897015236888,1.0,2015.2108146192272,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,K-Means,10,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.21638865934903456,1.3012966213925605,167.868909975408,0.21638865934903456,1.3012966213925605,167.868909975408,1.0,1917.8062856457757,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Agglomerative,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.47570991491461284,1.0339248382351922,181.69434341621835,0.47570991491461284,1.0339248382351922,181.69434341621835,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Agglomerative,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.49100126998958327,0.9419763198359994,246.948253163676,0.49100126998958327,0.9419763198359994,246.948253163676,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Agglomerative,4,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.17389921145094608,1.4433650638185214,209.09893990328564,0.17389921145094608,1.4433650638185214,209.09893990328564,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Agglomerative,5,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.18742651975773922,1.3262467078309013,196.42302263911108,0.18742651975773922,1.3262467078309013,196.42302263911108,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Agglomerative,6,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.19358415584052296,1.3670296374819548,185.67101117529234,0.19358415584052296,1.3670296374819548,185.67101117529234,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Agglomerative,7,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.19546756572594595,1.3152205045727146,170.13290616137397,0.19546756572594595,1.3152205045727146,170.13290616137397,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Agglomerative,8,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.19774345667246607,1.2739991691197854,160.68431578770935,0.19774345667246607,1.2739991691197854,160.68431578770935,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Agglomerative,9,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.198540785884187,1.2652559038426479,151.36720011093564,0.198540785884187,1.2652559038426479,151.36720011093564,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Agglomerative,10,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.19089355000400718,1.2762279075489507,145.10480232827268,0.19089355000400718,1.2762279075489507,145.10480232827268,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Gaussian Mixture,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.288963753349381,2.3699364563747585,84.45873393264448,0.288963753349381,2.3699364563747585,84.45873393264448,1.0,,9738.137967349052,10124.115457421085,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Gaussian Mixture,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.27190759555233746,1.9513838081710215,97.03206768409986,0.27190759555233746,1.9513838081710215,97.03206768409986,1.0,,9232.438279755674,9813.572927729298,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Gaussian Mixture,4,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.10279620785327727,2.085350753150184,97.47523145981161,0.10279620785327727,2.085350753150184,97.47523145981161,1.0,,8900.984394778463,9677.276200653676,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Gaussian Mixture,5,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.05111951851382761,2.1240213845919182,106.80810202240663,0.05111951851382761,2.1240213845919182,106.80810202240663,1.0,,8497.172035414133,9468.620999190936,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Gaussian Mixture,6,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.05304348499293196,1.9213920445305017,104.21301619425348,0.05304348499293196,1.9213920445305017,104.21301619425348,1.0,,8356.727351257196,9523.333472935588,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Gaussian Mixture,7,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.10757449833622403,2.232309098770519,136.8586661360887,0.10757449833622403,2.232309098770519,136.8586661360887,1.0,,8386.441445382416,9748.204724962397,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Gaussian Mixture,8,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.10655079073486504,1.8365089038579976,142.69720049303197,0.10655079073486504,1.8365089038579976,142.69720049303197,1.0,,8170.970225263285,9727.890662744858,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Gaussian Mixture,9,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.06429519541177005,1.8161353366339403,110.45702939087252,0.06429519541177005,1.8161353366339403,110.45702939087252,1.0,,8107.681297158014,9859.758892541176,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Gaussian Mixture,10,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.10285893703789616,1.741684396596127,122.52634951057533,0.10285893703789616,1.741684396596127,122.52634951057533,1.0,,7991.746385767174,9938.981139051926,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,HDBSCAN,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6068005706581019,0.4912037228017016,208.84810762801465,0.6068005706581019,0.4912037228017016,208.84810762801465,0.8584070796460177,,,,0.1415929203539823,10.0,5.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,HDBSCAN,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6295714429061497,0.44214409873814225,162.48469499501988,0.6295714429061497,0.44214409873814225,162.48469499501988,0.8141592920353983,,,,0.18584070796460173,10.0,10.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,HDBSCAN,0,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,,,,,,,0.0,,,,1.0,10.0,15.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6254152381897049,0.5309333537126176,215.0567482191361,0.6254152381897049,0.5309333537126176,215.0567482191361,0.8654867256637168,,,,0.13451327433628324,15.0,5.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,HDBSCAN,0,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,,,,,,,0.0,,,,1.0,15.0,10.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,HDBSCAN,0,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,,,,,,,0.0,,,,1.0,15.0,15.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6254152381897049,0.5309333537126176,215.0567482191361,0.6254152381897049,0.5309333537126176,215.0567482191361,0.8654867256637168,,,,0.13451327433628324,20.0,5.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,HDBSCAN,0,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,,,,,,,0.0,,,,1.0,20.0,10.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,HDBSCAN,0,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,,,,,,,0.0,,,,1.0,20.0,15.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,HDBSCAN,0,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,,,,,,,0.0,,,,1.0,25.0,5.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,HDBSCAN,0,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,,,,,,,0.0,,,,1.0,25.0,10.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,HDBSCAN,0,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,,,,,,,0.0,,,,1.0,25.0,15.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,K-Means,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.38901596378241377,1.263201694764502,187.35329879596065,0.38901596378241377,1.263201694764502,187.35329879596065,1.0,2811.643464945057,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,K-Means,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.42797017190429887,0.9846132306709979,195.48487506542514,0.42797017190429887,0.9846132306709979,195.48487506542514,1.0,2143.0622672562417,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,K-Means,4,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.22669266692929657,1.2824406769257046,186.44294105405453,0.22669266692929657,1.2824406769257046,186.44294105405453,1.0,1789.4214369757885,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,K-Means,5,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.20723391586116177,1.4034204149679037,164.41078285875872,0.20723391586116177,1.4034204149679037,164.41078285875872,1.0,1630.8015459357223,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,K-Means,6,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.18451854645742208,1.4190193100828248,146.79909094443164,0.18451854645742208,1.4190193100828248,146.79909094443164,1.0,1524.9397860736535,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,K-Means,7,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.16952938359920192,1.469511649852669,134.4884089168657,0.16952938359920192,1.469511649852669,134.4884089168657,1.0,1435.4594817206225,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,K-Means,8,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.164159088103891,1.4985434281846661,125.5185628350665,0.164159088103891,1.4985434281846661,125.5185628350665,1.0,1356.8222182003317,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,K-Means,9,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.1743098212868384,1.4468813513418008,119.93839211252002,0.1743098212868384,1.4468813513418008,119.93839211252002,1.0,1277.7544158564228,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,K-Means,10,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.17624933260507974,1.4570389453201569,113.73240921125199,0.17624933260507974,1.4570389453201569,113.73240921125199,1.0,1220.7685348780128,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Agglomerative,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.3377365531412069,1.3018672286089954,162.84040739542868,0.3377365531412069,1.3018672286089954,162.84040739542868,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Agglomerative,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.36783750095887086,1.1240657717654619,177.57448519802855,0.36783750095887086,1.1240657717654619,177.57448519802855,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Agglomerative,4,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.27528724950727823,1.2237170799332633,156.6853919313247,0.27528724950727823,1.2237170799332633,156.6853919313247,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Agglomerative,5,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.21017898933449944,1.367360605238375,147.6017081311473,0.21017898933449944,1.367360605238375,147.6017081311473,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Agglomerative,6,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.20567236511455692,1.3813041968599984,132.00782944907684,0.20567236511455692,1.3813041968599984,132.00782944907684,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Agglomerative,7,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.13647571585483123,1.6015277693633503,121.26296296649906,0.13647571585483123,1.6015277693633503,121.26296296649906,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Agglomerative,8,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.13291041352894473,1.5914482303971647,112.78273816064267,0.13291041352894473,1.5914482303971647,112.78273816064267,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Agglomerative,9,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.13643430552804203,1.5400498410438048,106.72180578346484,0.13643430552804203,1.5400498410438048,106.72180578346484,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Agglomerative,10,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.14147334246303897,1.5026305429587163,101.77379600916238,0.14147334246303897,1.5026305429587163,101.77379600916238,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Gaussian Mixture,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.23189510722820927,2.5341672641819866,64.55197580017347,0.23189510722820927,2.5341672641819866,64.55197580017347,1.0,,7226.770010478667,7596.363220307332,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Gaussian Mixture,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.16940298436347292,2.665545986361421,61.188848908467435,0.16940298436347292,2.665545986361421,61.188848908467435,1.0,,6932.12125406358,7488.58743515393,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Gaussian Mixture,4,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.09317282844205546,1.8774788500669817,80.69344005435302,0.09317282844205546,1.8774788500669817,80.69344005435302,1.0,,6665.329175438874,7408.668327790909,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Gaussian Mixture,5,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.11549332640803772,1.9270915162684967,107.59429162868052,0.11549332640803772,1.9270915162684967,107.59429162868052,1.0,,6525.230620858006,7455.442744471725,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Gaussian Mixture,6,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.09148789411749846,2.3827895613165815,86.29730111406536,0.09148789411749846,2.3827895613165815,86.29730111406536,1.0,,6111.666822707528,7228.751917582932,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Gaussian Mixture,7,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.11244726736789727,2.0390410675466093,87.51925328913815,0.11244726736789727,2.0390410675466093,87.51925328913815,1.0,,6053.98744753786,7357.945513674949,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Gaussian Mixture,8,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.12439500336573374,2.056738306805295,95.83475882039967,0.12439500336573374,2.056738306805295,95.83475882039967,1.0,,6020.040273969233,7510.871311368006,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Gaussian Mixture,9,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.10873511047276224,1.915466595629853,81.87660922298899,0.10873511047276224,1.915466595629853,81.87660922298899,1.0,,5988.697140304872,7666.401148965329,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Gaussian Mixture,10,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.14057722670631226,1.9551464417841888,81.95706348821464,0.14057722670631226,1.9551464417841888,81.95706348821464,1.0,,5917.103537285977,7781.68051720812,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,HDBSCAN,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.47588057080143564,0.7031225536213331,118.49608864236758,0.47588057080143564,0.7031225536213331,118.49608864236758,0.8553191489361702,,,,0.14468085106382977,10.0,5.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,HDBSCAN,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.4823479233845254,0.6272463303423704,94.15514480292215,0.4823479233845254,0.6272463303423704,94.15514480292215,0.8021276595744681,,,,0.19787234042553192,10.0,10.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,HDBSCAN,0,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,,,,,,,0.0,,,,1.0,10.0,15.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.4839122362283647,0.8047183824827958,108.84357983329616,0.4839122362283647,0.8047183824827958,108.84357983329616,0.8276595744680851,,,,0.17234042553191486,15.0,5.0
