Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,N Companies Before Completeness,Canonical N Companies,Complete-Case N Companies,Complete-Case Retention vs Canonical,Complete-Case Retention vs Pre-Completeness,Canonical K,Complete-Case Fixed K,Complete-Case Reselected K,Canonical Silhouette,Complete-Case Fixed-K Silhouette,Complete-Case Reselected-K Silhouette,Canonical vs Complete-Case Fixed-K ARI,Shared Companies
Canonical complete-case sensitivity,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,590,587,541,0.9216354344122658,0.9169491525423729,2,2,3,0.3906215619200193,0.3931828045860642,0.4026844543664735,0.9913584232027718,541
Canonical complete-case sensitivity,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,444,444,421,0.9481981981981982,0.9481981981981982,2,2,2,0.47250100499989534,0.4733595513676154,0.4733595513676154,1.0,421
Canonical complete-case sensitivity,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,567,565,523,0.9256637168141593,0.9223985890652557,3,3,3,0.5027037840163403,0.48548480875259326,0.48548480875259326,0.894196826651651,523
Canonical complete-case sensitivity,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,470,470,452,0.9617021276595744,0.9617021276595744,3,3,3,0.42797017190429887,0.419377453137285,0.419377453137285,0.9831049331298958,452
Canonical complete-case sensitivity,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,1654,1651,1537,0.9309509388249546,0.9292623941958887,2,2,2,0.5759981888852486,0.5718326653458751,0.5718326653458751,0.9911259204139835,1537
