Scenario ID,Scenario Name,Method,Selection Objective,Modal Configuration,Modal Selection Share,Distinct Configurations Selected,Selection Entropy,Normalised Selection Entropy
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN,HDBSCAN separation leader,HDBSCAN|mcs=10|ms=15,0.3,4,1.3535252706084164,0.9763620978123273
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,K-Means,Maximum common-space Silhouette,K-Means|K=2,1.0,1,-0.0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Maximum common-space Silhouette,Agglomerative|K=2,0.55,2,0.6881388137135884,0.9927744539878083
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment traditional comparison,Maximum common-space Silhouette,Agglomerative|K=2,0.35,4,1.3040114826148388,0.9406454496153464
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Maximum common-space Silhouette,Gaussian Mixture|K=2,1.0,1,-0.0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Minimum AIC,Gaussian Mixture|K=10,0.8,3,0.6128694524619495,0.5578578164321781
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Minimum BIC,Gaussian Mixture|K=5,0.45,5,1.327362863420189,0.8247369178800421
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,HDBSCAN balanced frontier leader,HDBSCAN|mcs=10|ms=5,0.8,3,0.6128694524619495,0.5578578164321781
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,HDBSCAN coverage leader,HDBSCAN|mcs=10|ms=5,0.7,3,0.7460326647147848,0.6790681957683443
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,HDBSCAN separation leader,HDBSCAN|mcs=10|ms=5,0.55,3,0.926506603289533,0.8433426540429225
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,Maximum common-space Silhouette,K-Means|K=2,0.6,2,0.6730116670092565,0.9709505944546688
