Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Method,Run A,Run B,N Shared Companies,N Evaluated Companies,Pairwise Evaluation Coverage,ARI,NMI
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,10002,10003,281,281,1.0,0.41842932112908776,0.4372676763645047
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,10002,10004,282,282,1.0,0.8643896541635406,0.836281881601
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,10003,10004,277,277,1.0,0.38444115348625013,0.42418882518156364
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,10000,10001,285,285,1.0,0.3054881761368076,0.47211184550095314
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,10000,10002,277,277,1.0,0.3557315236919299,0.5394786021268724
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,10000,10003,285,285,1.0,0.2874998840368289,0.3942260603514643
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,10000,10004,284,284,1.0,0.3461181391655484,0.5023780638472541
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,10001,10002,283,283,1.0,0.6247528183672101,0.6805922077070401
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,10001,10003,285,285,1.0,0.17367768540747397,0.22937041933468677
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,10001,10004,281,281,1.0,0.6644683389806779,0.6912326707000587
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,10002,10003,281,281,1.0,0.3470680350916003,0.3952702636675366
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,10002,10004,282,282,1.0,0.7637808630312857,0.7407039840437919
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,10003,10004,277,277,1.0,0.2686077870117904,0.3191629829276713
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,10000,10001,364,364,1.0,0.3889427178961587,0.4640299295845266
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,10000,10002,369,369,1.0,0.3310296052762203,0.4989217652870957
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,10000,10003,360,360,1.0,0.33712860383050214,0.4590076271258458
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,10000,10004,362,362,1.0,0.392825345554221,0.4425615834956357
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,10001,10002,364,364,1.0,0.3365824945465549,0.4939508738629869
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,10001,10003,362,362,1.0,0.3641282828396615,0.518106453656933
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,10001,10004,358,358,1.0,0.3998543799704741,0.48451294736266676
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,10002,10003,363,363,1.0,0.6520149031413879,0.6133568465725329
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,10002,10004,356,356,1.0,0.40359219008325364,0.5142273392473158
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,10003,10004,361,361,1.0,0.5919951186609188,0.5568846110683655
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,10000,10001,364,364,1.0,0.47294565904225294,0.49480767438732765
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,10000,10002,369,369,1.0,0.23314925095232575,0.3792676897687131
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,10000,10003,360,360,1.0,0.28146146645636444,0.3528188743800781
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,10000,10004,362,362,1.0,0.24471923904402654,0.3591963869730156
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,10001,10002,364,364,1.0,0.3391707420383802,0.5032246293245058
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,10001,10003,362,362,1.0,0.39511759532254004,0.5028230660896633
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,10001,10004,358,358,1.0,0.3369619497839494,0.44627869020951805
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,10002,10003,363,363,1.0,0.4014037948774586,0.4373504694711044
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,10002,10004,356,356,1.0,0.3194500784925462,0.4587587929101906
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,10003,10004,361,361,1.0,0.3358519700182707,0.4334699648375832
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,10000,10001,302,302,1.0,0.5827541712417709,0.5739019864759228
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,10000,10002,295,295,1.0,0.48561000021452805,0.5220788436133861
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,10000,10003,302,302,1.0,0.2898821250057308,0.3947968219778821
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,10000,10004,298,298,1.0,0.3966631103336792,0.4608805141581687
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,10001,10002,299,299,1.0,0.45096543288752444,0.49613004534322497
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,10001,10003,306,306,1.0,0.33751723691358115,0.4423102631815138
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,10001,10004,299,299,1.0,0.5160315233028943,0.5590435281760601
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,10002,10003,299,299,1.0,0.28112327174407825,0.4483189424642795
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,10002,10004,297,297,1.0,0.504564697519002,0.5465877246448112
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,10003,10004,293,293,1.0,0.24785058043368766,0.3561036746152838
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,10000,10001,302,302,1.0,0.5013772165027671,0.49935966999690495
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,10000,10002,295,295,1.0,0.503784042753337,0.5351643074549014
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,10000,10003,302,302,1.0,0.29101039784679983,0.38863482964743745
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,10000,10004,298,298,1.0,0.40551563694013715,0.43494132164085547
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,10001,10002,299,299,1.0,0.45115867406155286,0.533978747701291
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,10001,10003,306,306,1.0,0.3652030345052984,0.5241909863251805
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,10001,10004,299,299,1.0,0.44319128905144745,0.48613166870251734
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,10002,10003,299,299,1.0,0.31058533861965637,0.44628396516176516
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,10002,10004,297,297,1.0,0.48142835090174757,0.5564109751074282
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,10003,10004,293,293,1.0,0.23876239676264044,0.3190708870651735
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,10000,10001,1067,1067,1.0,0.38315578511406945,0.4340800538003667
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,10000,10002,1062,1062,1.0,0.30412237618654453,0.4103752188651577
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,10000,10003,1066,1066,1.0,0.17156646253964336,0.31976184383358425
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,10000,10004,1048,1048,1.0,0.19515425441460726,0.3564930379655257
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,10001,10002,1066,1066,1.0,0.6631427961018526,0.6654819922557539
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,10001,10003,1055,1055,1.0,0.2583250095781031,0.43385697272776375
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,10001,10004,1048,1048,1.0,0.2663540583624489,0.41158549256881766
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,10002,10003,1053,1053,1.0,0.19657110024974744,0.3925379992690317
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,10002,10004,1047,1047,1.0,0.23378725351233415,0.3726509374973692
