Scenario ID,Scenario Name,Candidate Role,Candidate ID,Method,Reference Cluster,KPI,Reference Raw Median,Median Resampled Raw Median,Empirical 10th Percentile Raw Median,Empirical 90th Percentile Raw Median,Minimum Raw Median,Maximum Raw Median,Reference Difference from Cohort Median,Median Resampled Difference from Cohort Median,Empirical 10th Percentile Difference,Empirical 90th Percentile Difference,Directional Consistency,Median Model-Space Profile,Empirical 10th Percentile Model-Space Profile,Empirical 90th Percentile Model-Space Profile,Mean Imputation Share,Maximum Imputation Share,Aligned Run Count,Expected Run Count
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,Asset Turnover,0.9731633866604024,0.8673676111959934,0.4868553973903532,1.1219468211429788,0.39789241036604744,1.3253997904365515,-0.062072522070919955,-0.17297443030313453,-0.5724110961931362,0.07303086645754923,0.85,-0.23721197551607343,-0.7813810158201414,0.10210235274250913,0.0,0.0,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,Current Ratio,1.2643899133292789,1.4638145205667499,1.2927215668220713,1.603185755290228,1.1649084155452765,1.8161457949002426,-0.23178511032586924,-0.009222813389898943,-0.22006590453316136,0.09689465503322547,0.55,-0.007578292499629004,-0.18028742103597914,0.07671136488185716,0.0,0.0,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,Debt Ratio,0.4199300148371857,0.29849846286776466,0.23348392994454376,0.4269023751184195,0.2250120543051593,0.4737948916830015,0.04853519569349907,-0.06947733581653415,-0.14049544138841705,0.04777268151627911,0.25,-0.19447176709807956,-0.4031807224464201,0.13208027804571712,0.0,0.0,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,EBITDA Margin,-0.05618972093615564,-0.28187894107107925,-0.5558112499422386,-0.03669444582263818,-0.6320811324906993,-0.015816902553356757,-0.14279872853124503,-0.36465135009711963,-0.6457764202467524,-0.12328343492866023,1.0,-2.9368036977907948,-3.81593210249276,-0.9437764395433992,0.0,0.0,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,Free Cash Flow Margin,-0.08670154434046742,-0.18243783934987687,-0.3664051596428277,-0.05442492927050307,-0.4503161989518466,-0.05320937870837481,-0.12678028181915793,-0.2220032210412009,-0.4067243132419205,-0.09712885373172238,1.0,-2.3540592509567193,-3.1014102409726454,-1.0623101550775982,0.0,0.0,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,Operating Cash Flow Margin,-0.03559707449351031,-0.15178462099075174,-0.2522992567080374,-0.02444334967502798,-0.400541993798851,-0.01462053525327253,-0.11589174576730661,-0.23084256985891402,-0.3311799560108717,-0.10368421215114344,1.0,-1.9585177212488443,-2.3492049502442005,-0.9339748577917554,0.0,0.0,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,Return on Assets,-0.17158208294183727,-0.26754640691462805,-0.4854560101255272,-0.15333563742918116,-0.5100943561611422,-0.11292270349697434,-0.1973873938475781,-0.29215593162405784,-0.511261321031268,-0.17851969516338345,1.0,-2.707768601908284,-3.301426593575686,-1.6184487239044594,0.0,0.0,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,Revenue per Employee,358824.56140350876,385398.11596600205,352440.45130252105,430240.0,285572.22222222225,592079.6089385474,-72295.43859649124,-43704.99662256782,-83468.69044398559,-6154.370691164989,0.9,-0.04011129988927342,-0.09296519135974714,0.00018460164787342066,0.04461250459045681,0.08333333333333333,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,1,Asset Turnover,1.047644237148679,1.0679195628560265,1.018300542748875,1.0933801016618336,1.003175121509801,1.1059952155811925,0.012408328417356618,0.030344928453024167,-0.008095823137906199,0.05293487345052814,0.85,0.04106624407104441,-0.011321386164708392,0.07468853063379549,0.0,0.0,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,1,Current Ratio,1.5159995891301068,1.4837361520288668,1.4053802843581982,1.52399667147567,1.401482484300545,1.6005476956269944,0.0198245654749587,-0.023060572915835187,-0.056765704269857276,0.03186572042290719,0.25,-0.018902589746954725,-0.046752320740324725,0.025393907632883576,0.0,0.0,20,20
