Scenario ID,Scenario Name,N Companies Retained,Imputed Feature Cell Share,Company Share with Any Imputation,Maximum Imputed KPIs per Retained Company,Highest-Imputation KPI,Highest KPI Imputation Rate,Complete-Case N Companies,Complete-Case Retention vs Canonical,Canonical K,Complete-Case Reselected K,Canonical vs Complete-Case Fixed-K ARI,Canonical Silhouette,Complete-Case Fixed-K Silhouette,Complete-Case Reselected-K Silhouette
technology_revenue_25m,Technology companies with revenue >= $25M,587,0.010008517887563885,0.07836456558773425,2,Revenue per Employee,0.05110732538330494,541,0.9216354344122658,2,3,0.9913584232027718,0.3906215619200193,0.3931828045860642,0.4026844543664735
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,444,0.007601351351351352,0.0518018018018018,2,Revenue per Employee,0.02027027027027027,421,0.9481981981981982,2,2,1.0,0.47250100499989534,0.4733595513676154,0.4733595513676154
industrials_revenue_20m,Industrials companies with revenue >= $20M,565,0.009513274336283186,0.0743362831858407,2,Revenue per Employee,0.05309734513274336,523,0.9256637168141593,3,3,0.894196826651651,0.5027037840163403,0.48548480875259326,0.48548480875259326
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,470,0.0047872340425531915,0.03829787234042553,1,Revenue per Employee,0.029787234042553193,452,0.9617021276595744,3,3,0.9831049331298958,0.42797017190429887,0.419377453137285,0.419377453137285
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,1651,0.00946396123561478,0.06904906117504543,2,Revenue per Employee,0.047244094488188976,1537,0.9309509388249546,2,2,0.9911259204139835,0.5759981888852486,0.5718326653458751,0.5718326653458751
