Scenario ID,Scenario Name,Candidate Role,Candidate ID,Method,Mean_Alignment_Accuracy,Minimum_Alignment_Accuracy,Mean_Matched_Cluster_Count,Runs_With_Unmatched_Reference_Clusters,Runs_With_Unmatched_Resampled_Clusters,Mean_Resampled_Noise_Share
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0.9031914893617021,0.8457446808510638,3.0,0,0,0.0
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,0.9035904255319149,0.776595744680851,2.0,0,0,0.0
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,0.9793882978723405,0.9095744680851063,3.0,0,0,0.0
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,0.9903916402392922,0.9676375404530745,2.7,5,1,0.14242021276595745
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=5,HDBSCAN,0.9984972450358731,0.9966996699669967,1.3,0,0,0.44534574468085103
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0.9828169014084507,0.9295774647887324,2.0,0,0,0.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,0.9297183098591549,0.856338028169014,2.0,0,0,0.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,0.9946478873239437,0.9830985915492958,2.0,0,0,0.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,0.9963397720373273,0.9540229885057471,1.9,0,1,0.26774647887323944
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,0.9969644972760984,0.9798657718120806,2.95,0,0,0.14577464788732394
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,0.9987622839963425,0.996031746031746,1.9,0,0,0.2584507042253521
industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0.9545500465881686,0.911504424778761,3.0,0,0,0.0
industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,0.923606592283946,0.8539823008849557,2.0,0,0,0.0
industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,0.9833042657498948,0.9601769911504425,3.0,0,0,0.0
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=10,HDBSCAN,0.9912340521020023,0.9727520435967303,1.3,4,0,0.5362229637373048
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=5,HDBSCAN,0.9031479755906879,0.5263157894736842,1.7,0,9,0.32577184701972123
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0.9790970732906812,0.9265707797123391,2.0,0,0,0.0
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,0.9811801479477353,0.956060606060606,2.0,0,0,0.0
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Full-assignment candidate,Full Assignment|K-Means,K-Means,0.9956075800418068,0.9886363636363636,2.0,0,0,0.0
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,0.9998351040148353,0.9983361064891847,2.0,0,0,0.07043075096756121
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,0.9933486716921118,0.9319640564826701,2.0,0,6,0.10557375240296078
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0.926644302348179,0.8343949044585988,2.0,0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,0.9503776343701155,0.8531914893617021,2.0,0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,0.9751968099933673,0.9424307036247335,2.0,0,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=10,HDBSCAN,0.9597514441483063,0.5652173913043478,1.05,0,1,0.5811371456559867
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,0.888067403159195,0.5769230769230769,1.6,0,10,0.4255011594185885
