Scenario ID,Scenario Name,Method,Method Type,Solution ID,Seed,Population,Variable,Bias-Corrected Cramer's V,Adjusted Mutual Information,Chi-Square P-Value,Contingency Rows,Contingency Columns,Expected Cells Below 5 Share,N Evaluated,Benjamini-Hochberg Adjusted P-Value
technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,2026.0,All eligible companies,Sector,,,,4,1,,587,
technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,2026.0,All eligible companies,Industry,0.21620155785509262,0.03282146283774294,5.353816388229971e-11,4,12,0.5,587,6.180828675842731e-11
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,2026.0,All eligible companies,Sector,,,,4,1,,587,
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,DEC|K=4,2026.0,All eligible companies,Industry,0.21978145089868203,0.03737199528541625,1.948256757491951e-11,4,12,0.3958333333333333,587,2.267643111179156e-11
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,Sector,,,,2,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,Industry,0.4215215799544513,0.07342844870429314,9.540859824269905e-15,2,11,0.22727272727272727,444,1.341388212917155e-14
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,K-Means,Traditional full-assignment,K-Means|K=2,,All eligible companies,Sector,,,,2,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,K-Means,Traditional full-assignment,K-Means|K=2,,All eligible companies,Industry,0.4190516209606998,0.07041752420568426,1.450893341859823e-14,2,11,0.22727272727272727,444,2.0198711229813225e-14
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,Sector,,,,2,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,Industry,0.3391709591906868,0.04616829005375547,2.359812622008439e-09,2,11,0.22727272727272727,444,2.638530648229908e-09
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,Sector,,,,4,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,Industry,0.5229269672266296,0.1347104738696806,1.2409150577209049e-64,4,11,0.6136363636363636,444,6.076204765392017e-64
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,HDBSCAN assigned subset,Sector,,,,3,1,,384,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,HDBSCAN assigned subset,Industry,0.6475472821314204,0.15687276265991906,4.208062436674738e-60,3,11,0.6363636363636364,384,1.45742650245808e-59
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=15,,All companies including noise,Sector,,,,3,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=15,,All companies including noise,Industry,0.3102594209394533,0.06839427532897784,1.4990409318148495e-13,3,11,0.42424242424242425,444,1.8837505514841471e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=15,,HDBSCAN assigned subset,Sector,,,,2,1,,331,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=15,,HDBSCAN assigned subset,Industry,0.47226364306706486,0.07762691922595975,9.716609580041179e-14,2,11,0.45454545454545453,331,1.2658335416200435e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,Sector,,,,4,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,Industry,0.5229269672266296,0.1347104738696806,1.2409150577209049e-64,4,11,0.6136363636363636,444,6.076204765392017e-64
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,HDBSCAN assigned subset,Sector,,,,3,1,,384,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,HDBSCAN assigned subset,Industry,0.6475472821314204,0.15687276265991906,4.208062436674738e-60,3,11,0.6363636363636364,384,1.45742650245808e-59
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=10,,All companies including noise,Sector,,,,3,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=10,,All companies including noise,Industry,0.3679989451317235,0.09570572437191727,5.625305272268987e-20,3,11,0.42424242424242425,444,9.077197143888592e-20
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=10,,HDBSCAN assigned subset,Sector,,,,2,1,,325,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=10,,HDBSCAN assigned subset,Industry,0.489248117290499,0.08790020752447039,7.88188791876181e-15,2,10,0.5,325,1.119228084464177e-14
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=15,,All companies including noise,Sector,,,,3,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=15,,All companies including noise,Industry,0.3102594209394533,0.06839427532897784,1.4990409318148495e-13,3,11,0.42424242424242425,444,1.8837505514841471e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=15,,HDBSCAN assigned subset,Sector,,,,2,1,,331,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=15,,HDBSCAN assigned subset,Industry,0.47226364306706486,0.07762691922595975,9.716609580041179e-14,2,11,0.45454545454545453,331,1.2658335416200435e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=5,,All companies including noise,Sector,,,,3,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=5,,All companies including noise,Industry,0.37650529639904595,0.09198322669861372,4.848639731382588e-21,3,11,0.42424242424242425,444,8.295263154895512e-21
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=5,,HDBSCAN assigned subset,Sector,,,,2,1,,367,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=5,,HDBSCAN assigned subset,Industry,0.43191464476891384,0.07486579513496615,5.542053336945218e-13,2,10,0.5,367,6.84323107692366e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=10,,All companies including noise,Sector,,,,3,1,,444,
