Scenario ID,Scenario Name,Null Replicate,Seed,Selected K,Best Silhouette
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,24,41025,4,0.24413493005529696
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,25,41026,2,0.25043488710148726
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,26,41027,3,0.24915287298042368
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,27,41028,2,0.25146081009076315
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,28,41029,4,0.2500026254575066
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,29,41030,4,0.24648420568976515
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,30,41031,2,0.24012557908861928
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,31,41032,2,0.24335843044154865
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,32,41033,4,0.24947913430513888
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,33,41034,4,0.2470839324400118
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,34,41035,4,0.24755066860908687
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,35,41036,4,0.23941889504615443
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,36,41037,4,0.24145538201386355
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,37,41038,4,0.2572171744620266
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,38,41039,4,0.24311483967199643
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,39,41040,4,0.26595832572782124
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,40,41041,4,0.24644649484717127
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,41,41042,4,0.2508894020778697
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,42,41043,4,0.25186274932905894
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,43,41044,4,0.2511598461451649
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,44,41045,4,0.24804064828124756
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,45,41046,4,0.24852625510755888
