Scenario ID,Scenario Name,Candidate Role,Candidate ID,Method,Reference Cluster,Reference Cluster Share,Median Resampled Cluster Share,Empirical 10th Percentile Cluster Share,Empirical 90th Percentile Cluster Share,Minimum Cluster Share,Maximum Cluster Share,Median Shared-Company Jaccard,Minimum Shared-Company Jaccard,Aligned Run Count,Expected Run Count
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,0.19148936170212766,0.12234042553191489,0.07101063829787235,0.20345744680851063,0.06382978723404255,0.26595744680851063,0.5729383229383229,0.2916666666666667,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,1,0.7106382978723405,0.7938829787234043,0.6986702127659575,0.848404255319149,0.6409574468085106,0.8670212765957447,0.8727478574211142,0.8312883435582822,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,0.09787234042553192,0.0851063829787234,0.07659574468085106,0.09840425531914894,0.06914893617021277,0.10106382978723404,0.8267857142857142,0.7222222222222222,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,0,0.34893617021276596,0.3643617021276596,0.33749999999999997,0.39920212765957447,0.2872340425531915,0.5106382978723404,0.732428236006968,0.4782608695652174,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,1,0.6510638297872341,0.6356382978723405,0.6007978723404255,0.6625,0.48936170212765956,0.7127659574468085,0.8312377864965992,0.714859437751004,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,0,0.776595744680851,0.7699468085106382,0.7353723404255319,0.7821808510638297,0.7101063829787234,0.7872340425531915,0.9847513329656187,0.89,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,1,0.1276595744680851,0.13031914893617022,0.1196808510638298,0.16276595744680852,0.1196808510638298,0.20212765957446807,0.9399759903961584,0.5584415584415584,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,0.09574468085106383,0.09840425531914894,0.09042553191489362,0.10398936170212766,0.08776595744680851,0.10904255319148937,0.9717806041335453,0.85,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,0,0.03233830845771144,0.03743890518084066,0.03168999797119091,0.04582593775884511,0.03067484662576687,0.048484848484848485,1.0,1.0,14,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,1,0.9104477611940298,0.9208688150498135,0.9,0.9457282482076732,0.8881789137380192,0.9666666666666667,0.9965576490105463,0.9700996677740864,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,2,0.05721393034825871,0.051235282763945185,0.03496272630457934,0.05867599067599068,0.03225806451612903,0.06547619047619048,0.975,0.5238095238095238,20,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=5,HDBSCAN,0,0.9408740359897172,0.9415384615384615,0.9128306878306879,0.9470974683675264,0.9,0.9512987012987013,1.0,0.9965156794425087,13,20
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=5,HDBSCAN,1,0.05912596401028278,0.056074766355140186,0.04926406926406927,0.06253667818336588,0.046296296296296294,0.06547619047619048,1.0,0.9375,13,20
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,0.8445945945945946,0.8492957746478873,0.8250704225352112,0.8816901408450705,0.8084507042253521,0.9070422535211268,0.9867072955308249,0.922360248447205,20,20
