Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Candidate Role,Candidate ID,Method,K,Sampling Seed,N Companies,Common-Space Silhouette Score,Evaluation Coverage
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10017,355,0.47472456828711784,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10018,355,0.4968258804154375,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10019,355,0.4562646414853841,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10000,355,0.48604599084362554,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10001,355,0.463257983191901,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10002,355,0.4886220167587948,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10003,355,0.49971189453734044,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10004,355,0.4641662265468835,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10005,355,0.4846286903590935,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10006,355,0.468493981519069,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10007,355,0.4861792824511505,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10008,355,0.45222373129054233,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10009,355,0.471714178955565,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10010,355,0.48208716082569775,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10011,355,0.46198043951623424,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10012,355,0.48552680517861907,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10013,355,0.4816403812860807,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10014,355,0.4824780725666875,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10015,355,0.4842741610250903,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10016,355,0.49485803823227553,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10017,355,0.4610260201330893,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10018,355,0.4602234748096141,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10019,355,0.45942275823142575,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10000,355,0.3573510221329073,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10001,355,0.2856529598973081,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10002,355,0.3250568512948447,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10003,355,0.34523300193754924,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10004,355,0.3386553190017975,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10005,355,0.37464180365666316,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10006,355,0.2895945340442765,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10007,355,0.34031109574288926,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10008,355,0.29307586352250736,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10009,355,0.3058049997850944,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10010,355,0.3400793700841792,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10011,355,0.27447461266048356,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10012,355,0.3605892002713193,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10013,355,0.2788871237515231,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10014,355,0.3283906833709918,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10015,355,0.3017840744001858,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10016,355,0.28884856010739157,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10017,355,0.2592148280222856,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10018,355,0.2333017133487471,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,2,10019,355,0.335007774996707,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10000,355,0.4503352289128389,0.8760563380281691
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10001,355,0.37420511914288285,0.856338028169014
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10002,355,0.45795269564359453,0.8450704225352113
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10003,355,0.4317183368813242,0.856338028169014
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10004,355,0.4062244403584416,0.8816901408450705
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10005,355,0.39112415056768507,0.847887323943662
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10006,355,0.42418869723653363,0.8647887323943662
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10007,355,0.45835368488689143,0.8450704225352113
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10008,355,0.4191114851546994,0.8816901408450705
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10009,355,0.46004176105256944,0.8140845070422535
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10010,355,0.47115927483424164,0.8338028169014085
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10011,355,0.4089998127995942,0.8338028169014085
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10012,355,0.4815734564617508,0.8394366197183099
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10013,355,0.4009710418844919,0.9154929577464789
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10014,355,0.41369398457087975,0.8929577464788733
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10015,355,0.5846029748740681,0.8591549295774648
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10016,355,0.4329516605563527,0.8535211267605634
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10017,355,0.4688497437061554,0.8225352112676056
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10018,355,0.4412053918232737,0.8450704225352113
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,3,10019,355,0.4217539526778447,0.819718309859155
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10000,355,0.6104261897417765,0.8253521126760563
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10001,355,,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10002,355,0.6151396594068768,0.7690140845070422
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10003,355,0.6502670403319754,0.7295774647887324
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10004,355,0.6029370084946615,0.7746478873239436
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10005,355,0.6279086071915103,0.7718309859154929
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10006,355,0.6043785956330442,0.8056338028169014
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10007,355,0.6380770462952058,0.7746478873239436
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10008,355,0.6073446776414447,0.8028169014084507
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10009,355,0.6581287923696382,0.7014084507042253
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10010,355,0.6596185262226015,0.7014084507042253
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10011,355,0.6294919598690383,0.7436619718309859
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10012,355,0.6304319856521494,0.7746478873239436
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10013,355,0.6107340723622611,0.7971830985915493
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10014,355,0.6244425767430579,0.7718309859154929
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10015,355,0.6308465657071676,0.7943661971830986
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10016,355,0.6258271028841628,0.7915492957746478
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10017,355,0.5114084589264019,0.7577464788732394
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10018,355,0.6281606577729753,0.780281690140845
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,2,10019,355,0.6018474944357837,0.7774647887323943
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10000,355,0.5998995117387518,0.8366197183098592
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10001,355,,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10002,355,0.6111703165495134,0.7915492957746478
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10003,355,0.6637517851396226,0.7183098591549296
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10004,355,0.6047018462160724,0.7887323943661971
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10005,355,0.611890917690246,0.7971830985915493
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10006,355,0.6101888975093482,0.7915492957746478
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10007,355,0.6561681898555074,0.7436619718309859
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10008,355,0.5782554990884886,0.8450704225352113
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10009,355,0.6411715178969722,0.7211267605633803
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10010,355,0.6642713287527987,0.7070422535211267
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10011,355,0.653674937647947,0.6985915492957746
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10012,355,0.6501910447320508,0.752112676056338
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10013,355,0.5605988728521112,0.8929577464788733
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10014,355,0.6003668233712849,0.8225352112676056
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10015,355,0.6319148624572879,0.8028169014084507
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10016,355,0.6090413224385819,0.8225352112676056
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10017,355,0.516170967863124,0.7633802816901408
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10018,355,0.6190100652916158,0.7943661971830986
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,2,10019,355,0.6202613507822438,0.7408450704225352
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,3,10000,452,0.5152515218223149,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,3,10001,452,0.5274658060990554,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,3,10002,452,0.5061415631894163,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,3,10003,452,0.5079818789018334,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,3,10004,452,0.4762575602328822,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,3,10005,452,0.5425473450186183,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,3,10006,452,0.49854647276425706,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,3,10007,452,0.5055331124390992,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,3,10008,453,0.4914050406764081,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,3,10009,452,0.48913672013836856,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,3,10010,452,0.4582049872243068,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,3,10011,453,0.48330222927635397,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,3,10012,454,0.5095142963993016,1.0
