Scenario ID,Scenario Name,Candidate Role,Candidate ID,Method,Sampling Seed,Reference Cluster,Resampled Cluster,Cluster Company Count,Cluster Share of Evaluated Population,Reference Cluster Share,Shared-Company Jaccard
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10016,1,1,92,0.19616204690831557,0.0919931856899489,0.41935483870967744
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10017,0,0,349,0.7409766454352441,0.9080068143100511,0.8169014084507042
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10017,1,1,122,0.25902335456475584,0.0919931856899489,0.36585365853658536
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10018,0,0,380,0.8050847457627118,0.9080068143100511,0.8899297423887588
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10018,1,1,92,0.19491525423728814,0.0919931856899489,0.4891304347826087
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10019,0,0,395,0.8404255319148937,0.9080068143100511,0.913953488372093
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10019,1,1,75,0.1595744680851064,0.0919931856899489,0.5194805194805194
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10000,0,1,381,0.8123667377398721,0.8040885860306644,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10000,1,0,88,0.18763326226012794,0.19591141396933562,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10001,0,1,373,0.7953091684434968,0.8040885860306644,0.979002624671916
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10001,1,0,96,0.2046908315565032,0.19591141396933562,0.9166666666666666
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10002,0,0,404,0.8614072494669509,0.8040885860306644,0.9331683168316832
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10002,1,1,65,0.13859275053304904,0.19591141396933562,0.7065217391304348
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10003,0,1,379,0.8063829787234043,0.8040885860306644,0.994750656167979
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10003,1,0,91,0.19361702127659575,0.19591141396933562,0.978021978021978
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10004,0,1,393,0.837953091684435,0.8040885860306644,0.9541984732824428
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10004,1,0,76,0.16204690831556504,0.19591141396933562,0.8085106382978723
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10005,0,0,371,0.7910447761194029,0.8040885860306644,0.9893333333333333
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10005,1,1,98,0.208955223880597,0.19591141396933562,0.9591836734693877
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10006,0,1,372,0.7931769722814499,0.8040885860306644,0.986737400530504
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10006,1,0,97,0.2068230277185501,0.19591141396933562,0.9484536082474226
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10007,0,0,380,0.8102345415778252,0.8040885860306644,0.9921671018276762
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10007,1,1,89,0.18976545842217485,0.19591141396933562,0.9662921348314607
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10008,0,1,394,0.8382978723404255,0.8040885860306644,0.9619289340101523
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10008,1,0,76,0.16170212765957448,0.19591141396933562,0.8351648351648352
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10009,0,0,393,0.837953091684435,0.8040885860306644,0.9567430025445293
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10009,1,1,76,0.16204690831556504,0.19591141396933562,0.8172043010752689
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10010,0,1,376,0.8017057569296375,0.8040885860306644,0.9920424403183024
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10010,1,0,93,0.19829424307036247,0.19591141396933562,0.968421052631579
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10011,0,0,390,0.8315565031982942,0.8040885860306644,0.9512820512820512
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10011,1,1,79,0.16844349680170576,0.19591141396933562,0.8061224489795918
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10012,0,0,406,0.8656716417910447,0.8040885860306644,0.9433497536945813
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10012,1,1,63,0.13432835820895522,0.19591141396933562,0.7325581395348837
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10013,0,0,374,0.7957446808510639,0.8040885860306644,0.9868073878627969
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10013,1,1,96,0.20425531914893616,0.19591141396933562,0.9479166666666666
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10014,0,0,394,0.8382978723404255,0.8040885860306644,0.9670050761421319
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10014,1,1,76,0.16170212765957448,0.19591141396933562,0.8539325842696629
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10015,0,0,394,0.8382978723404255,0.8040885860306644,0.9593908629441624
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10015,1,1,76,0.16170212765957448,0.19591141396933562,0.8260869565217391
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10016,0,1,371,0.7910447761194029,0.8040885860306644,0.9840848806366048
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10016,1,0,98,0.208955223880597,0.19591141396933562,0.9387755102040817
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10017,0,0,404,0.8577494692144374,0.8040885860306644,0.9331683168316832
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10017,1,1,67,0.14225053078556263,0.19591141396933562,0.7127659574468085
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10018,0,0,394,0.8347457627118644,0.8040885860306644,0.9543147208121827
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10018,1,1,78,0.1652542372881356,0.19591141396933562,0.8125
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10019,0,0,373,0.7936170212765957,0.8040885860306644,0.9893899204244032
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10019,1,1,97,0.20638297872340425,0.19591141396933562,0.9587628865979382
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10000,0,1,155,0.3304904051172708,0.3730834752981261,0.8426966292134831
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10000,1,0,314,0.6695095948827292,0.626916524701874,0.9122257053291536
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10001,0,1,165,0.35181236673773986,0.3730834752981261,0.9878787878787879
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10001,1,0,304,0.6481876332622601,0.626916524701874,0.9934640522875817
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10002,0,0,159,0.3390191897654584,0.3730834752981261,0.9028571428571428
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10002,1,1,310,0.6609808102345416,0.626916524701874,0.9453376205787781
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10003,0,1,166,0.35319148936170214,0.3730834752981261,0.8516483516483516
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10003,1,0,304,0.6468085106382979,0.626916524701874,0.9142857142857143
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10004,0,1,162,0.34541577825159914,0.3730834752981261,0.9364161849710982
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10004,1,0,307,0.6545842217484008,0.626916524701874,0.9641693811074918
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10005,0,1,169,0.3603411513859275,0.3730834752981261,0.912568306010929
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10005,1,0,300,0.6396588486140725,0.626916524701874,0.9470198675496688
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10006,0,1,177,0.3773987206823028,0.3730834752981261,0.9887005649717514
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10006,1,0,292,0.6226012793176973,0.626916524701874,0.9931972789115646
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10007,0,0,159,0.3390191897654584,0.3730834752981261,0.8287292817679558
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10007,1,1,310,0.6609808102345416,0.626916524701874,0.9028213166144201
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10008,0,1,152,0.32340425531914896,0.3730834752981261,0.7619047619047619
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10008,1,0,318,0.676595744680851,0.626916524701874,0.8619631901840491
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10009,0,0,167,0.35607675906183367,0.3730834752981261,0.8956043956043956
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10009,1,1,302,0.6439232409381663,0.626916524701874,0.9379084967320261
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10010,0,1,164,0.34968017057569295,0.3730834752981261,0.9532163742690059
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10010,1,0,305,0.650319829424307,0.626916524701874,0.9738562091503268
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10011,0,1,136,0.2899786780383795,0.3730834752981261,0.7228260869565217
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10011,1,0,333,0.7100213219616205,0.626916524701874,0.8482142857142857
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10012,0,1,161,0.34328358208955223,0.3730834752981261,0.867816091954023
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10012,1,0,308,0.6567164179104478,0.626916524701874,0.9276729559748428
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10013,0,0,157,0.33404255319148934,0.3730834752981261,0.8111111111111111
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10013,1,1,313,0.6659574468085107,0.626916524701874,0.8950617283950617
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10014,0,1,171,0.3638297872340426,0.3730834752981261,0.9269662921348315
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10014,1,0,299,0.6361702127659574,0.626916524701874,0.9573770491803278
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10015,0,1,132,0.28085106382978725,0.3730834752981261,0.6310160427807486
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10015,1,0,338,0.7191489361702128,0.626916524701874,0.8039772727272727
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10016,0,1,161,0.34328358208955223,0.3730834752981261,0.827027027027027
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10016,1,0,308,0.6567164179104478,0.626916524701874,0.8987341772151899
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10017,0,1,169,0.35881104033970274,0.3730834752981261,0.9388888888888889
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10017,1,0,302,0.6411889596602972,0.626916524701874,0.9635761589403974
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10018,0,0,185,0.3919491525423729,0.3730834752981261,0.9523809523809523
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10018,1,1,287,0.6080508474576272,0.626916524701874,0.9691780821917808
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10019,0,0,160,0.3404255319148936,0.3730834752981261,0.8977272727272727
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,10019,1,1,310,0.6595744680851063,0.626916524701874,0.9423076923076923
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10000,0,0,46,0.7931034482758621,0.9620253164556962,0.7931034482758621
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10001,0,0,405,0.9507042253521126,0.9620253164556962,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10001,1,1,21,0.04929577464788732,0.0379746835443038,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10002,0,0,403,0.9504716981132075,0.9620253164556962,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10002,1,1,21,0.049528301886792456,0.0379746835443038,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10003,0,0,59,0.7972972972972973,0.9620253164556962,0.7972972972972973
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10004,0,0,55,0.7971014492753623,0.9620253164556962,0.7971014492753623
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10005,0,0,359,0.9702702702702702,0.9620253164556962,0.9971590909090909
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10005,1,1,11,0.02972972972972973,0.0379746835443038,0.9
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10006,0,0,392,0.9727047146401985,0.9620253164556962,0.9945205479452055
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10006,1,1,11,0.02729528535980149,0.0379746835443038,0.8181818181818182
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10007,0,0,376,0.9665809768637532,0.9620253164556962,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10007,1,1,13,0.033419023136246784,0.0379746835443038,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10008,0,0,55,0.7746478873239436,0.9620253164556962,0.7746478873239436
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10009,0,0,27,0.6585365853658537,0.9620253164556962,0.6585365853658537
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10010,0,2,379,0.9266503667481663,0.9620253164556962,0.9863760217983651
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10010,1,0,20,0.0488997555012225,0.0379746835443038,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10011,0,0,395,0.947242206235012,0.9620253164556962,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10011,1,1,22,0.05275779376498801,0.0379746835443038,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10012,0,0,415,0.9474885844748858,0.9620253164556962,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10012,1,1,23,0.05251141552511415,0.0379746835443038,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10013,0,1,50,0.7575757575757576,0.9620253164556962,0.7575757575757576
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10014,0,1,376,0.9353233830845771,0.9620253164556962,0.989041095890411
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10014,1,2,16,0.03980099502487562,0.0379746835443038,0.9333333333333333
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10015,0,0,355,0.9594594594594594,0.9620253164556962,0.9971671388101983
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10015,1,1,15,0.04054054054054054,0.0379746835443038,0.9375
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,10016,0,2,30,0.5769230769230769,0.9620253164556962,0.5769230769230769
