Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Model,K,Inertia,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,AIC,BIC,Min Cluster Size,Min Samples,Number of Clusters,Noise Count,Noise Share,Saved At
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Gaussian Mixture,3,,0.2855863635069617,1.4928926510146547,205.94378305933705,6678.553985529517,6871.055077601954,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Gaussian Mixture,4,,0.19970674708433458,1.6364598292866195,180.3627626113746,6540.543609077122,6798.67007344698,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Gaussian Mixture,5,,0.18088045051063908,1.6598011934524366,151.99090217722326,6477.115010201796,6800.866846869076,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Gaussian Mixture,6,,0.21093172745572175,1.566775144324123,162.7774362870703,6420.784410624383,6810.161619589084,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Gaussian Mixture,7,,0.21660470016911754,1.4100461653459315,160.02899725790692,6404.574956033482,6859.577537295603,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Gaussian Mixture,8,,0.17563349783831902,1.5731425656835805,147.15017039032318,6360.320382855369,6880.948336414912,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Gaussian Mixture,9,,0.11592265404316825,1.4938014963283166,144.46166800316857,6358.960991167336,6945.214317024301,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Gaussian Mixture,10,,0.15736877196838678,1.3694217502493422,142.36304839707037,6318.465829978171,6970.344528132558,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,HDBSCAN,3,,0.5207312079294584,0.4820620240831974,115.97007863732827,,,10.0,5.0,3.0,119.0,0.20272572402044292,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,HDBSCAN,2,,0.597510558760493,0.44495612563656417,162.25002515098234,,,10.0,10.0,2.0,86.0,0.1465076660988075,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,HDBSCAN,2,,0.6162260948757278,0.40138418610720056,109.54140838586399,,,10.0,15.0,2.0,103.0,0.17546848381601363,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,HDBSCAN,2,,0.3159929307091116,1.0954701005230028,45.89108304203567,,,15.0,5.0,2.0,517.0,0.8807495741056218,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,HDBSCAN,2,,0.597510558760493,0.44495612563656417,162.25002515098234,,,15.0,10.0,2.0,86.0,0.1465076660988075,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,HDBSCAN,0,,,,,,,15.0,15.0,0.0,587.0,1.0,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,HDBSCAN,2,,0.3159929307091116,1.0954701005230028,45.89108304203567,,,20.0,5.0,2.0,517.0,0.8807495741056218,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,HDBSCAN,0,,,,,,,20.0,10.0,0.0,587.0,1.0,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,HDBSCAN,0,,,,,,,20.0,15.0,0.0,587.0,1.0,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,HDBSCAN,2,,0.3159929307091116,1.0954701005230028,45.89108304203567,,,25.0,5.0,2.0,517.0,0.8807495741056218,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,HDBSCAN,0,,,,,,,25.0,10.0,0.0,587.0,1.0,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,HDBSCAN,0,,,,,,,25.0,15.0,0.0,587.0,1.0,2026-07-27 17:59:49
