Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Method,Selected K,Selection Basis,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Mean ARI,Mean NMI,Smallest Cluster,Largest Cluster,Recommendation Tier,Key Finding,Saved At
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,K-Means,5,Balanced baseline candidate,0.3196506700009585,1.0516935432969008,255.8051892334168,,,,,Production candidate,Stable and interpretable traditional baseline.,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Agglomerative,4,Best Calinski-Harabasz / interpretable candidate,0.34955244730443374,1.0043608988971005,218.23469708286652,,,,,Production candidate,Comparable to K-Means with hierarchical structure.,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Gaussian Mixture,4,Best Calinski-Harabasz candidate,0.19970674708433458,1.6364598292866195,180.3627626113746,,,,,Secondary candidate,Useful probabilistic comparison but weaker separation.,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,HDBSCAN,2.0,Best valid Silhouette candidate,0.6162260948757278,0.40138418610720056,109.54140838586399,,,,,Outlier / density diagnostic,Identifies dense peer groups but excludes many firms as noise.,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Autoencoder + K-Means,Variable by seed,Best architecture quality summary,0.5006436884403229,0.8412355688385119,415.9116828665242,0.33956120615125907,0.26135202262129253,,,Research candidate,Higher cluster quality but unstable across random seeds.,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,DEC,4,Fixed K stability experiment,0.5059305369853974,0.6630376679733622,799.3118081581642,0.4428537590709185,0.46664326503131237,64.0,304.0,Research candidate,Strong separation gains but only marginal stability improvement.,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,IDEC,4,Fixed K stability experiment,0.44942296743392945,0.7764719975707424,684.2109470327258,0.398620229905718,0.4305400476961291,65.0,311.0,Research candidate,More conservative than DEC but no major stability improvement.,2026-07-27 17:59:49
