Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Seed,Epochs Trained,Pretraining Validation Loss,Final Reconstruction Error,Initial Silhouette,Final Silhouette,Silhouette Improvement,Initial DBI,Final DBI,DBI Improvement,Initial CH,Final CH,CH Improvement,Initial Smallest Cluster,Final Smallest Cluster,Initial Largest Cluster,Final Largest Cluster,Convergence Iteration,Saved At
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,42,300,0.21884678304195404,0.15997383553775035,0.4553225636482239,0.4642289876937866,0.008906424045562744,0.8666880743994567,0.8071295582882724,0.059558516111184345,529.1893205998856,662.5198890173956,133.33056841751,54,72,359,311,120,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,123,111,0.23199696838855743,0.19035942497187752,0.3307670056819916,0.37523597478866577,0.044468969106674194,0.9949622872398096,0.7860088956470631,0.2089533915927465,384.2679655062798,575.8390454218066,191.57107991552687,54,82,277,216,190,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,456,146,0.29872092604637146,0.22079030975274005,0.46448761224746704,0.4513837397098541,-0.013103872537612915,0.8292771326581848,0.791386544978445,0.03789058767973985,651.2595992962837,759.3090802910009,108.04948099471721,54,97,347,232,280,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,789,108,0.2733636498451233,0.20416768009014502,0.46398061513900757,0.47518864274024963,0.011208027601242065,0.9561778205399569,0.7370577611164902,0.21912005942346668,461.35117709308037,671.6115887577673,210.26041166468696,40,77,366,308,130,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,2026,191,0.1965540051460266,0.17234241991376198,0.483874648809433,0.48107749223709106,-0.002797156572341919,0.9425405231781798,0.7607772278234408,0.181763295354739,530.3607440407837,751.7751316756588,221.41438763487508,47,65,394,291,250,2026-07-27 17:59:49
